"Region","Location of Placement","Type of Placement","Race/Ethnicity","Value"
"Southwest Region","Out of State","Therapeutic Foster Care","Other",-6666
"Southwest Region","Out of State","Therapeutic Foster Care","White",0
"Southwest Region","Out of State","Total","Black",3
"Southwest Region","Out of State","Total","Hispanic",1
"Southwest Region","Out of State","Total","Other",-6666
"Southwest Region","Out of State","Total","White",6
"Statewide","In State","Connecticut Juvenile Training School","Black",27
"Statewide","In State","Connecticut Juvenile Training School","Hispanic",8
"Statewide","In State","Connecticut Juvenile Training School","Other",2
"Statewide","In State","Connecticut Juvenile Training School","White",5
"Statewide","In State","Foster Care","Black",234
"Statewide","In State","Foster Care","Hispanic",401
"Statewide","In State","Foster Care","Other",124
"Statewide","In State","Foster Care","White",404
"Statewide","In State","Group Home","Black",64
"Statewide","In State","Group Home","Hispanic",68
"Statewide","In State","Group Home","Other",18
"Statewide","In State","Group Home","White",68
"Statewide","In State","High Meadows","Black",0
"Statewide","In State","High Meadows","Hispanic",0
"Statewide","In State","High Meadows","Other",0
"Statewide","In State","High Meadows","White",0
"Statewide","In State","Independent Living","Black",68
"Statewide","In State","Independent Living","Hispanic",56
"Statewide","In State","Independent Living","Other",15
"Statewide","In State","Independent Living","White",46
"Statewide","In State","Medical or Psychiatric Hospital Placement","Black",8
"Statewide","In State","Medical or Psychiatric Hospital Placement","Hispanic",4
"Statewide","In State","Medical or Psychiatric Hospital Placement","Other",2
"Statewide","In State","Medical or Psychiatric Hospital Placement","White",4
"Statewide","In State","PDC or Safe Home","Black",1
"Statewide","In State","PDC or Safe Home","Hispanic",3
"Statewide","In State","PDC or Safe Home","Other",1
"Statewide","In State","PDC or Safe Home","White",0
"Statewide","In State","Relative Foster Care","Black",290
"Statewide","In State","Relative Foster Care","Hispanic",458
"Statewide","In State","Relative Foster Care","Other",142
"Statewide","In State","Relative Foster Care","White",503
"Statewide","In State","Residential Treatment Center","Black",20
"Statewide","In State","Residential Treatment Center","Hispanic",46
"Statewide","In State","Residential Treatment Center","Other",9
"Statewide","In State","Residential Treatment Center","White",40
"Statewide","In State","Shelter","Black",7
"Statewide","In State","Shelter","Hispanic",10
"Statewide","In State","Shelter","Other",1
"Statewide","In State","Shelter","White",17
"Statewide","In State","Solnit Center","Black",5
"Statewide","In State","Solnit Center","Hispanic",8
"Statewide","In State","Solnit Center","Other",2
"Statewide","In State","Solnit Center","White",10
"Statewide","In State","Special Study","Black",75
"Statewide","In State","Special Study","Hispanic",110
"Statewide","In State","Special Study","Other",28
"Statewide","In State","Special Study","White",91
"Statewide","In State","Therapeutic Foster Care","Black",174
"Statewide","In State","Therapeutic Foster Care","Hispanic",227
"Statewide","In State","Therapeutic Foster Care","Other",62
"Statewide","In State","Therapeutic Foster Care","White",184
"Statewide","In State","Total","Black",973
"Statewide","In State","Total","Hispanic",1399
"Statewide","In State","Total","Other",406
"Statewide","In State","Total","White",1372
"Statewide","Out of State","Connecticut Juvenile Training School","Black",-6666
"Statewide","Out of State","Connecticut Juvenile Training School","Hispanic",-6666
"Statewide","Out of State","Connecticut Juvenile Training School","Other",-19998
"Statewide","Out of State","Connecticut Juvenile Training School","White",0
"Statewide","Out of State","Foster Care","Black",-6665
"Statewide","Out of State","Foster Care","Hispanic",-6662
"Statewide","Out of State","Foster Care","Other",-19997
"Statewide","Out of State","Foster Care","White",4
"Statewide","Out of State","Group Home","Black",-6666
"Statewide","Out of State","Group Home","Hispanic",-6666
"Statewide","Out of State","Group Home","Other",-19998
"Statewide","Out of State","Group Home","White",0
"Statewide","Out of State","High Meadows","Black",-6666
"Statewide","Out of State","High Meadows","Hispanic",-6666
"Statewide","Out of State","High Meadows","Other",-19998
"Statewide","Out of State","High Meadows","White",0
"Statewide","Out of State","Independent Living","Black",-6659
"Statewide","Out of State","Independent Living","Hispanic",-6665
"Statewide","Out of State","Independent Living","Other",-19998
"Statewide","Out of State","Independent Living","White",6
"Statewide","Out of State","Medical or Psychiatric Hospital Placement","Black",-6666
"Statewide","Out of State","Medical or Psychiatric Hospital Placement","Hispanic",-6666
"Statewide","Out of State","Medical or Psychiatric Hospital Placement","Other",-19997
"Statewide","Out of State","Medical or Psychiatric Hospital Placement","White",0
"Statewide","Out of State","PDC or Safe Home","Black",-6666
"Statewide","Out of State","PDC or Safe Home","Hispanic",-6666
"Statewide","Out of State","PDC or Safe Home","Other",-19998
"Statewide","Out of State","PDC or Safe Home","White",0
"Statewide","Out of State","Relative Foster Care","Black",-6655
"Statewide","Out of State","Relative Foster Care","Hispanic",-6648
"Statewide","Out of State","Relative Foster Care","Other",-19994
"Statewide","Out of State","Relative Foster Care","White",20
"Statewide","Out of State","Residential Treatment Center","Black",-6663
"Statewide","Out of State","Residential Treatment Center","Hispanic",-6666
"Statewide","Out of State","Residential Treatment Center","Other",-19996
"Statewide","Out of State","Residential Treatment Center","White",3
"Statewide","Out of State","Shelter","Black",-6666
"Statewide","Out of State","Shelter","Hispanic",-6666
"Statewide","Out of State","Shelter","Other",-19998
"Statewide","Out of State","Shelter","White",0
"Statewide","Out of State","Solnit Center","Black",-6666
"Statewide","Out of State","Solnit Center","Hispanic",-6666
"Statewide","Out of State","Solnit Center","Other",-19998
"Statewide","Out of State","Solnit Center","White",0
"Statewide","Out of State","Special Study","Black",-6666
"Statewide","Out of State","Special Study","Hispanic",-6666
"Statewide","Out of State","Special Study","Other",-19998
"Statewide","Out of State","Special Study","White",2
"Statewide","Out of State","Therapeutic Foster Care","Black",-6662
"Statewide","Out of State","Therapeutic Foster Care","Hispanic",-6666
"Statewide","Out of State","Therapeutic Foster Care","Other",-19998
"Statewide","Out of State","Therapeutic Foster Care","White",3
"Statewide","Out of State","Total","Black",-6640
"Statewide","Out of State","Total","Hispanic",-6643
"Statewide","Out of State","Total","Other",-19990
"Statewide","Out of State","Total","White",38
"Western Region","In State","Connecticut Juvenile Training School","Black",3
"Western Region","In State","Connecticut Juvenile Training School","Hispanic",4
"Western Region","In State","Connecticut Juvenile Training School","Other",0
"Western Region","In State","Connecticut Juvenile Training School","White",2
"Western Region","In State","Foster Care","Black",27
"Western Region","In State","Foster Care","Hispanic",116
"Western Region","In State","Foster Care","Other",18
"Western Region","In State","Foster Care","White",101
"Western Region","In State","Group Home","Black",2
"Western Region","In State","Group Home","Hispanic",10
"Western Region","In State","Group Home","Other",1
"Western Region","In State","Group Home","White",8
"Western Region","In State","High Meadows","Black",0
"Western Region","In State","High Meadows","Hispanic",0
"Western Region","In State","High Meadows","Other",0
"Western Region","In State","High Meadows","White",0
"Western Region","In State","Independent Living","Black",3
"Western Region","In State","Independent Living","Hispanic",4
"Western Region","In State","Independent Living","Other",2
"Western Region","In State","Independent Living","White",6
"Western Region","In State","Medical or Psychiatric Hospital Placement","Black",2
"Western Region","In State","Medical or Psychiatric Hospital Placement","Hispanic",0
"Western Region","In State","Medical or Psychiatric Hospital Placement","Other",0
"Western Region","In State","Medical or Psychiatric Hospital Placement","White",0
"Western Region","In State","PDC or Safe Home","Black",0
"Western Region","In State","PDC or Safe Home","Hispanic",2
"Western Region","In State","PDC or Safe Home","Other",0
"Western Region","In State","PDC or Safe Home","White",0
"Western Region","In State","Relative Foster Care","Black",45
"Western Region","In State","Relative Foster Care","Hispanic",94
"Western Region","In State","Relative Foster Care","Other",28
"Western Region","In State","Relative Foster Care","White",109
"Western Region","In State","Residential Treatment Center","Black",1
"Western Region","In State","Residential Treatment Center","Hispanic",2
"Western Region","In State","Residential Treatment Center","Other",0
"Western Region","In State","Residential Treatment Center","White",8
"Western Region","In State","Shelter","Black",0
"Western Region","In State","Shelter","Hispanic",1
"Western Region","In State","Shelter","Other",0
"Western Region","In State","Shelter","White",3
"Western Region","In State","Solnit Center","Black",0
"Western Region","In State","Solnit Center","Hispanic",2
"Western Region","In State","Solnit Center","Other",0
"Western Region","In State","Solnit Center","White",0
"Western Region","In State","Special Study","Black",14
"Western Region","In State","Special Study","Hispanic",27
"Western Region","In State","Special Study","Other",5
"Western Region","In State","Special Study","White",30
"Western Region","In State","Therapeutic Foster Care","Black",26
"Western Region","In State","Therapeutic Foster Care","Hispanic",50
"Western Region","In State","Therapeutic Foster Care","Other",18
"Western Region","In State","Therapeutic Foster Care","White",61
"Western Region","In State","Total","Black",123
"Western Region","In State","Total","Hispanic",312
"Western Region","In State","Total","Other",72
"Western Region","In State","Total","White",328
"Western Region","Out of State","Connecticut Juvenile Training School","Black",-6666
"Western Region","Out of State","Connecticut Juvenile Training School","Hispanic",0
"Western Region","Out of State","Connecticut Juvenile Training School","Other",-6666
"Western Region","Out of State","Connecticut Juvenile Training School","White",0
"Western Region","Out of State","Foster Care","Black",-6666
"Western Region","Out of State","Foster Care","Hispanic",0
"Western Region","Out of State","Foster Care","Other",-6666
"Western Region","Out of State","Foster Care","White",0
"Western Region","Out of State","Group Home","Black",-6666
"Western Region","Out of State","Group Home","Hispanic",0
"Western Region","Out of State","Group Home","Other",-6666
"Western Region","Out of State","Group Home","White",0
"Western Region","Out of State","High Meadows","Black",-6666
"Western Region","Out of State","High Meadows","Hispanic",0
"Western Region","Out of State","High Meadows","Other",-6666
"Western Region","Out of State","High Meadows","White",0
"Western Region","Out of State","Independent Living","Black",-6666
"Western Region","Out of State","Independent Living","Hispanic",0
"Western Region","Out of State","Independent Living","Other",-6666
"Western Region","Out of State","Independent Living","White",0
"Western Region","Out of State","Medical or Psychiatric Hospital Placement","Black",-6666
"Western Region","Out of State","Medical or Psychiatric Hospital Placement","Hispanic",0
"Western Region","Out of State","Medical or Psychiatric Hospital Placement","Other",-6666
"Western Region","Out of State","Medical or Psychiatric Hospital Placement","White",0
"Western Region","Out of State","PDC or Safe Home","Black",-6666
"Western Region","Out of State","PDC or Safe Home","Hispanic",0
"Western Region","Out of State","PDC or Safe Home","Other",-6666
"Western Region","Out of State","PDC or Safe Home","White",0
"Western Region","Out of State","Relative Foster Care","Black",-6666
"Western Region","Out of State","Relative Foster Care","Hispanic",4
"Western Region","Out of State","Relative Foster Care","Other",-6666
"Western Region","Out of State","Relative Foster Care","White",3
"Western Region","Out of State","Residential Treatment Center","Black",-6666
"Western Region","Out of State","Residential Treatment Center","Hispanic",0
"Western Region","Out of State","Residential Treatment Center","Other",-6666
"Western Region","Out of State","Residential Treatment Center","White",1
"Western Region","Out of State","Shelter","Black",-6666
"Western Region","Out of State","Shelter","Hispanic",0
"Western Region","Out of State","Shelter","Other",-6666
"Western Region","Out of State","Shelter","White",0
"Western Region","Out of State","Solnit Center","Black",-6666
"Western Region","Out of State","Solnit Center","Hispanic",0
"Western Region","Out of State","Solnit Center","Other",-6666
"Western Region","Out of State","Solnit Center","White",0
"Western Region","Out of State","Special Study","Black",-6666
"Western Region","Out of State","Special Study","Hispanic",0
"Western Region","Out of State","Special Study","Other",-6666
"Western Region","Out of State","Special Study","White",0
"Western Region","Out of State","Therapeutic Foster Care","Black",-6666
"Western Region","Out of State","Therapeutic Foster Care","Hispanic",0
"Western Region","Out of State","Therapeutic Foster Care","Other",-6666
"Western Region","Out of State","Therapeutic Foster Care","White",0
"Western Region","Out of State","Total","Black",-6666
"Western Region","Out of State","Total","Hispanic",4
"Western Region","Out of State","Total","Other",-6666
"Western Region","Out of State","Total","White",4
