"Town","FIPS","Year","Allegation Type","Report Status","Measure Type","Variable","Value","Region","Category"
"East Hartford",900322630,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"East Hartford",900322630,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"East Hartford",900322630,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",201,"North Central Region","Abuse"
"East Hartford",900322630,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",16,"North Central Region","Abuse"
"East Hartford",900322630,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",7.96,"North Central Region","Abuse"
"East Hartford",900322630,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",1011,"North Central Region","Neglect"
"East Hartford",900322630,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",221,"North Central Region","Neglect"
"East Hartford",900322630,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",21.86,"North Central Region","Neglect"
"East Hartford",900322630,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",51,"North Central Region","Abuse"
"East Hartford",900322630,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",20,"North Central Region","Abuse"
"East Hartford",900322630,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",39.22,"North Central Region","Abuse"
"East Haven",900922910,2017,"All","Alleged","Number","Child Abuse and Neglect",677,"South Central Region","All"
"East Haven",900922910,2017,"All","Substantiated","Number","Child Abuse and Neglect",153,"South Central Region","All"
"East Haven",900922910,2017,"All","Substantiated","Rate","Child Abuse and Neglect",22.6,"South Central Region","All"
"East Haven",900922910,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"East Haven",900922910,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"East Haven",900922910,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"East Haven",900922910,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",14,"South Central Region","Neglect"
"East Haven",900922910,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"East Haven",900922910,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"East Haven",900922910,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",102,"South Central Region","Neglect"
"East Haven",900922910,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",26,"South Central Region","Neglect"
"East Haven",900922910,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",25.49,"South Central Region","Neglect"
"East Haven",900922910,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"East Haven",900922910,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"East Haven",900922910,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"East Haven",900922910,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",11,"South Central Region","Neglect"
"East Haven",900922910,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"East Haven",900922910,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"East Haven",900922910,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",62,"South Central Region","Abuse"
"East Haven",900922910,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Abuse"
"East Haven",900922910,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Abuse"
"East Haven",900922910,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",459,"South Central Region","Neglect"
"East Haven",900922910,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",107,"South Central Region","Neglect"
"East Haven",900922910,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",23.31,"South Central Region","Neglect"
"East Haven",900922910,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",17,"South Central Region","Abuse"
"East Haven",900922910,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Abuse"
"East Haven",900922910,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Abuse"
"East Lyme",901123400,2017,"All","Alleged","Number","Child Abuse and Neglect",293,"Eastern Region","All"
"East Lyme",901123400,2017,"All","Substantiated","Number","Child Abuse and Neglect",121,"Eastern Region","All"
"East Lyme",901123400,2017,"All","Substantiated","Rate","Child Abuse and Neglect",41.3,"Eastern Region","All"
"East Lyme",901123400,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"East Lyme",901123400,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"East Lyme",901123400,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"East Lyme",901123400,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"East Lyme",901123400,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"East Lyme",901123400,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"East Lyme",901123400,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",48,"Eastern Region","Neglect"
"East Lyme",901123400,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",23,"Eastern Region","Neglect"
"East Lyme",901123400,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",47.92,"Eastern Region","Neglect"
"East Lyme",901123400,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"East Lyme",901123400,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"East Lyme",901123400,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"East Lyme",901123400,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"East Lyme",901123400,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"East Lyme",901123400,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"East Lyme",901123400,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",14,"Eastern Region","Abuse"
"East Lyme",901123400,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"East Lyme",901123400,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"East Lyme",901123400,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",203,"Eastern Region","Neglect"
"East Lyme",901123400,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",90,"Eastern Region","Neglect"
"East Lyme",901123400,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",44.33,"Eastern Region","Neglect"
"East Lyme",901123400,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",13,"Eastern Region","Abuse"
"East Lyme",901123400,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"East Lyme",901123400,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Easton",900123890,2017,"All","Alleged","Number","Child Abuse and Neglect",34,"Southwest Region","All"
"Easton",900123890,2017,"All","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","All"
"Easton",900123890,2017,"All","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","All"
"Easton",900123890,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Southwest Region","Risk"
"Easton",900123890,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Risk"
"Easton",900123890,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Risk"
"Easton",900123890,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Easton",900123890,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Easton",900123890,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Easton",900123890,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Easton",900123890,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Easton",900123890,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Easton",900123890,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Southwest Region","Risk"
"Easton",900123890,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Risk"
"Easton",900123890,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Risk"
"Easton",900123890,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Easton",900123890,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Easton",900123890,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Easton",900123890,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Southwest Region","Abuse"
"Easton",900123890,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Abuse"
"Easton",900123890,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Abuse"
"Easton",900123890,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",21,"Southwest Region","Neglect"
"Easton",900123890,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Easton",900123890,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Easton",900123890,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Southwest Region","Abuse"
"Easton",900123890,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Abuse"
"Easton",900123890,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Abuse"
"East Windsor",900324800,2017,"All","Alleged","Number","Child Abuse and Neglect",289,"North Central Region","All"
"East Windsor",900324800,2017,"All","Substantiated","Number","Child Abuse and Neglect",90,"North Central Region","All"
"East Windsor",900324800,2017,"All","Substantiated","Rate","Child Abuse and Neglect",31.14,"North Central Region","All"
"East Windsor",900324800,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"East Windsor",900324800,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"East Windsor",900324800,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"East Windsor",900324800,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",14,"North Central Region","Neglect"
"East Windsor",900324800,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"East Windsor",900324800,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"East Windsor",900324800,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",52,"North Central Region","Neglect"
"East Windsor",900324800,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",17,"North Central Region","Neglect"
"East Windsor",900324800,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",32.69,"North Central Region","Neglect"
"East Windsor",900324800,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"East Windsor",900324800,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"East Windsor",900324800,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"East Windsor",900324800,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"East Windsor",900324800,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"East Windsor",900324800,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"East Windsor",900324800,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",21,"North Central Region","Abuse"
"East Windsor",900324800,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"East Windsor",900324800,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"East Windsor",900324800,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",191,"North Central Region","Neglect"
"East Windsor",900324800,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",69,"North Central Region","Neglect"
"East Windsor",900324800,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",36.13,"North Central Region","Neglect"
"East Windsor",900324800,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"East Windsor",900324800,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"East Windsor",900324800,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Ellington",901325360,2017,"All","Alleged","Number","Child Abuse and Neglect",134,"North Central Region","All"
"Ellington",901325360,2017,"All","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","All"
"Ellington",901325360,2017,"All","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","All"
"Ellington",901325360,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Ellington",901325360,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Ellington",901325360,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Ellington",901325360,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Ellington",901325360,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Ellington",901325360,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Ellington",901325360,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",20,"North Central Region","Neglect"
"Ellington",901325360,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Ellington",901325360,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Ellington",901325360,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Ellington",901325360,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Ellington",901325360,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Ellington",901325360,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Ellington",901325360,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Ellington",901325360,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Ellington",901325360,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Ellington",901325360,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Ellington",901325360,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Ellington",901325360,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",82,"North Central Region","Neglect"
"Ellington",901325360,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Ellington",901325360,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Ellington",901325360,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Ellington",901325360,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Ellington",901325360,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Enfield",900325990,2017,"All","Alleged","Number","Child Abuse and Neglect",947,"North Central Region","All"
"Enfield",900325990,2017,"All","Substantiated","Number","Child Abuse and Neglect",166,"North Central Region","All"
"Enfield",900325990,2017,"All","Substantiated","Rate","Child Abuse and Neglect",17.53,"North Central Region","All"
"Enfield",900325990,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Enfield",900325990,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Enfield",900325990,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Enfield",900325990,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",47,"North Central Region","Neglect"
"Enfield",900325990,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Enfield",900325990,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Enfield",900325990,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",153,"North Central Region","Neglect"
"Enfield",900325990,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",38,"North Central Region","Neglect"
"Enfield",900325990,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",24.84,"North Central Region","Neglect"
"Enfield",900325990,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Enfield",900325990,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Enfield",900325990,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Enfield",900325990,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",12,"North Central Region","Neglect"
"Enfield",900325990,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Enfield",900325990,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Enfield",900325990,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",80,"North Central Region","Abuse"
"Enfield",900325990,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Enfield",900325990,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Enfield",900325990,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",609,"North Central Region","Neglect"
"Enfield",900325990,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",114,"North Central Region","Neglect"
"Enfield",900325990,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",18.72,"North Central Region","Neglect"
"Enfield",900325990,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",26,"North Central Region","Abuse"
"Enfield",900325990,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Enfield",900325990,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Essex",900726270,2017,"All","Alleged","Number","Child Abuse and Neglect",50,"Eastern Region","All"
"Essex",900726270,2017,"All","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","All"
"Essex",900726270,2017,"All","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","All"
"Essex",900726270,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Essex",900726270,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Essex",900726270,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Essex",900726270,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Essex",900726270,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Essex",900726270,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Essex",900726270,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Essex",900726270,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Essex",900726270,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Essex",900726270,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Essex",900726270,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Essex",900726270,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Essex",900726270,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Essex",900726270,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Essex",900726270,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Essex",900726270,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Essex",900726270,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Essex",900726270,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Essex",900726270,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",38,"Eastern Region","Neglect"
"Essex",900726270,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Essex",900726270,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Essex",900726270,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Essex",900726270,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Essex",900726270,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Fairfield",900126620,2017,"All","Alleged","Number","Child Abuse and Neglect",345,"Southwest Region","All"
"Fairfield",900126620,2017,"All","Substantiated","Number","Child Abuse and Neglect",41,"Southwest Region","All"
"Fairfield",900126620,2017,"All","Substantiated","Rate","Child Abuse and Neglect",11.88,"Southwest Region","All"
"Fairfield",900126620,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Southwest Region","Risk"
"Fairfield",900126620,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Risk"
"Fairfield",900126620,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Risk"
"Fairfield",900126620,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Fairfield",900126620,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Fairfield",900126620,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Fairfield",900126620,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",63,"Southwest Region","Neglect"
"Fairfield",900126620,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Fairfield",900126620,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Fairfield",900126620,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Southwest Region","Risk"
"Fairfield",900126620,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Risk"
"Fairfield",900126620,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Risk"
"Fairfield",900126620,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",12,"Southwest Region","Neglect"
"Fairfield",900126620,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Fairfield",900126620,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Neglect"
"Fairfield",900126620,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",39,"Southwest Region","Abuse"
"Fairfield",900126620,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Abuse"
"Fairfield",900126620,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Abuse"
"Fairfield",900126620,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",208,"Southwest Region","Neglect"
"Fairfield",900126620,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",26,"Southwest Region","Neglect"
"Fairfield",900126620,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",12.5,"Southwest Region","Neglect"
"Fairfield",900126620,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Southwest Region","Abuse"
"Fairfield",900126620,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Southwest Region","Abuse"
"Fairfield",900126620,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Southwest Region","Abuse"
"Farmington",900327600,2017,"All","Alleged","Number","Child Abuse and Neglect",237,"Central Region","All"
"Farmington",900327600,2017,"All","Substantiated","Number","Child Abuse and Neglect",45,"Central Region","All"
"Farmington",900327600,2017,"All","Substantiated","Rate","Child Abuse and Neglect",18.99,"Central Region","All"
"Farmington",900327600,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Farmington",900327600,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Farmington",900327600,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Farmington",900327600,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",21,"Central Region","Neglect"
"Farmington",900327600,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Farmington",900327600,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Farmington",900327600,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",40,"Central Region","Neglect"
