"District","FIPS","Year","Incident Type","Variable","Measure Type","Value","R#","Region"
"Barkhamsted School District",NA,"2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2014-2015","Violent Crimes Against Persons","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2014-2015","School Policy Violations","Incidents","Number",7,5,"Western"
"Barkhamsted School District",NA,"2014-2015","Sexually Related Behavior","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2014-2015","Personally Threatening Behavior","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2010-2011","Theft Related Behaviors","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2010-2011","Physical and Verbal Confrontation","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2010-2011","Fighting and Battery","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2010-2011","Property Damage","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2010-2011","Weapons","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2011-2012","Violent Crimes Against Persons","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2011-2012","School Policy Violations","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2011-2012","Sexually Related Behavior","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2011-2012","Personally Threatening Behavior","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2011-2012","Theft Related Behaviors","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2011-2012","Physical and Verbal Confrontation","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2011-2012","Fighting and Battery","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2011-2012","Property Damage","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2011-2012","Weapons","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Violent Crimes Against Persons","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2012-2013","School Policy Violations","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Sexually Related Behavior","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Personally Threatening Behavior","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Theft Related Behaviors","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Physical and Verbal Confrontation","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Fighting and Battery","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Property Damage","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Weapons","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2013-2014","Violent Crimes Against Persons","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2009-2010","Violent Crimes Against Persons","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2009-2010","School Policy Violations","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2009-2010","Sexually Related Behavior","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2009-2010","Personally Threatening Behavior","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2009-2010","Theft Related Behaviors","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2009-2010","Physical and Verbal Confrontation","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2009-2010","Fighting and Battery","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2009-2010","Property Damage","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2009-2010","Weapons","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2010-2011","Violent Crimes Against Persons","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2010-2011","School Policy Violations","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2010-2011","Sexually Related Behavior","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Theft Related Behaviors","Incidents","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Physical and Verbal Confrontation","Incidents","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Fighting and Battery","Incidents","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2014-2015","Theft Related Behaviors","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2014-2015","Physical and Verbal Confrontation","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2014-2015","Fighting and Battery","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2014-2015","Property Damage","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2014-2015","Weapons","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Violent Crimes Against Persons","Incidents","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2015-2016","School Policy Violations","Incidents","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Sexually Related Behavior","Incidents","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Personally Threatening Behavior","Incidents","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Property Damage","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Weapons","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Property Damage","Incidents","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Weapons","Incidents","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Violent Crimes Against Persons","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2016-2017","School Policy Violations","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Sexually Related Behavior","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Personally Threatening Behavior","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Theft Related Behaviors","Incidents","Number",0,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Physical and Verbal Confrontation","Incidents","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Fighting and Battery","Incidents","Number",0,5,"Western"
"Berlin School District",NA,"2014-2015","Theft Related Behaviors","Incidents","Number",12,6,"Central"
"Berlin School District",NA,"2014-2015","Physical and Verbal Confrontation","Incidents","Number",23,6,"Central"
"Berlin School District",NA,"2014-2015","Fighting and Battery","Incidents","Number",29,6,"Central"
"Berlin School District",NA,"2009-2010","Violent Crimes Against Persons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2009-2010","School Policy Violations","Incidents","Number",635,6,"Central"
"Berlin School District",NA,"2009-2010","Sexually Related Behavior","Incidents","Number",7,6,"Central"
"Berlin School District",NA,"2009-2010","Personally Threatening Behavior","Incidents","Number",27,6,"Central"
"Berlin School District",NA,"2009-2010","Theft Related Behaviors","Incidents","Number",10,6,"Central"
"Berlin School District",NA,"2009-2010","Physical and Verbal Confrontation","Incidents","Number",23,6,"Central"
"Berlin School District",NA,"2009-2010","Fighting and Battery","Incidents","Number",22,6,"Central"
"Berlin School District",NA,"2009-2010","Property Damage","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2009-2010","Weapons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number",44,6,"Central"
"Berlin School District",NA,"2010-2011","Violent Crimes Against Persons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2010-2011","School Policy Violations","Incidents","Number",532,6,"Central"
"Berlin School District",NA,"2010-2011","Sexually Related Behavior","Incidents","Number",6,6,"Central"
"Berlin School District",NA,"2010-2011","Personally Threatening Behavior","Incidents","Number",31,6,"Central"
"Berlin School District",NA,"2014-2015","Property Damage","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2014-2015","Weapons","Incidents","Number",0,6,"Central"
"Berlin School District",NA,"2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number",14,6,"Central"
"Berlin School District",NA,"2015-2016","Violent Crimes Against Persons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2015-2016","School Policy Violations","Incidents","Number",72,6,"Central"
"Berlin School District",NA,"2015-2016","Sexually Related Behavior","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2015-2016","Personally Threatening Behavior","Incidents","Number",22,6,"Central"
"Berlin School District",NA,"2015-2016","Theft Related Behaviors","Incidents","Number",0,6,"Central"
"Berlin School District",NA,"2015-2016","Physical and Verbal Confrontation","Incidents","Number",26,6,"Central"
"Berlin School District",NA,"2015-2016","Fighting and Battery","Incidents","Number",18,6,"Central"
"Berlin School District",NA,"2015-2016","Property Damage","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2015-2016","Weapons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2016-2017","Violent Crimes Against Persons","Incidents","Number",0,6,"Central"
"Berlin School District",NA,"2016-2017","School Policy Violations","Incidents","Number",63,6,"Central"
"Berlin School District",NA,"2016-2017","Sexually Related Behavior","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2016-2017","Personally Threatening Behavior","Incidents","Number",23,6,"Central"
"Berlin School District",NA,"2016-2017","Theft Related Behaviors","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2016-2017","Physical and Verbal Confrontation","Incidents","Number",17,6,"Central"
"Berlin School District",NA,"2016-2017","Fighting and Battery","Incidents","Number",50,6,"Central"
"Berlin School District",NA,"2016-2017","Property Damage","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2016-2017","Weapons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number",11,6,"Central"
"Berlin School District",NA,"2012-2013","Property Damage","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2012-2013","Weapons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number",9,6,"Central"
"Berlin School District",NA,"2013-2014","Violent Crimes Against Persons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2013-2014","School Policy Violations","Incidents","Number",159,6,"Central"
"Berlin School District",NA,"2013-2014","Sexually Related Behavior","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2013-2014","Personally Threatening Behavior","Incidents","Number",19,6,"Central"
"Berlin School District",NA,"2013-2014","Theft Related Behaviors","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2013-2014","Physical and Verbal Confrontation","Incidents","Number",14,6,"Central"
"Berlin School District",NA,"2013-2014","Fighting and Battery","Incidents","Number",21,6,"Central"
"Berlin School District",NA,"2013-2014","Property Damage","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2013-2014","Weapons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2014-2015","Violent Crimes Against Persons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2014-2015","School Policy Violations","Incidents","Number",84,6,"Central"
"Berlin School District",NA,"2014-2015","Sexually Related Behavior","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2014-2015","Personally Threatening Behavior","Incidents","Number",18,6,"Central"
"Berlin School District",NA,"2010-2011","Theft Related Behaviors","Incidents","Number",9,6,"Central"
"Berlin School District",NA,"2010-2011","Physical and Verbal Confrontation","Incidents","Number",24,6,"Central"
"Berlin School District",NA,"2010-2011","Fighting and Battery","Incidents","Number",29,6,"Central"
"Berlin School District",NA,"2010-2011","Property Damage","Incidents","Number",7,6,"Central"
"Berlin School District",NA,"2010-2011","Weapons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number",52,6,"Central"
"Berlin School District",NA,"2011-2012","Violent Crimes Against Persons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2011-2012","School Policy Violations","Incidents","Number",317,6,"Central"
"Berlin School District",NA,"2011-2012","Sexually Related Behavior","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2011-2012","Personally Threatening Behavior","Incidents","Number",28,6,"Central"
"Berlin School District",NA,"2011-2012","Theft Related Behaviors","Incidents","Number",10,6,"Central"
"Berlin School District",NA,"2011-2012","Physical and Verbal Confrontation","Incidents","Number",33,6,"Central"
"Berlin School District",NA,"2011-2012","Fighting and Battery","Incidents","Number",24,6,"Central"
"Berlin School District",NA,"2011-2012","Property Damage","Incidents","Number",8,6,"Central"
"Berlin School District",NA,"2011-2012","Weapons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number",19,6,"Central"
"Berlin School District",NA,"2012-2013","Violent Crimes Against Persons","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2012-2013","School Policy Violations","Incidents","Number",208,6,"Central"
"Berlin School District",NA,"2012-2013","Sexually Related Behavior","Incidents","Number",-9999,6,"Central"
"Berlin School District",NA,"2012-2013","Personally Threatening Behavior","Incidents","Number",21,6,"Central"
"Berlin School District",NA,"2012-2013","Theft Related Behaviors","Incidents","Number",9,6,"Central"
"Berlin School District",NA,"2012-2013","Physical and Verbal Confrontation","Incidents","Number",15,6,"Central"
"Berlin School District",NA,"2012-2013","Fighting and Battery","Incidents","Number",16,6,"Central"
"Bethany School District",NA,"2009-2010","Violent Crimes Against Persons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2009-2010","School Policy Violations","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2009-2010","Sexually Related Behavior","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2009-2010","Personally Threatening Behavior","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2009-2010","Theft Related Behaviors","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2009-2010","Physical and Verbal Confrontation","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2009-2010","Fighting and Battery","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2009-2010","Property Damage","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2009-2010","Weapons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2010-2011","Violent Crimes Against Persons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2010-2011","School Policy Violations","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2010-2011","Sexually Related Behavior","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2010-2011","Personally Threatening Behavior","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2010-2011","Theft Related Behaviors","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2010-2011","Physical and Verbal Confrontation","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2010-2011","Fighting and Battery","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2014-2015","Fighting and Battery","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2010-2011","Property Damage","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2010-2011","Weapons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2011-2012","Violent Crimes Against Persons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2011-2012","School Policy Violations","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2011-2012","Sexually Related Behavior","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2011-2012","Personally Threatening Behavior","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2011-2012","Theft Related Behaviors","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2011-2012","Physical and Verbal Confrontation","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2011-2012","Fighting and Battery","Incidents","Number",7,2,"South Central"
"Bethany School District",NA,"2011-2012","Property Damage","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2011-2012","Weapons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2012-2013","Violent Crimes Against Persons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2012-2013","School Policy Violations","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2012-2013","Sexually Related Behavior","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2012-2013","Personally Threatening Behavior","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2012-2013","Theft Related Behaviors","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2012-2013","Physical and Verbal Confrontation","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2012-2013","Fighting and Battery","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2012-2013","Property Damage","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2012-2013","Weapons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2013-2014","Violent Crimes Against Persons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2013-2014","School Policy Violations","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2013-2014","Sexually Related Behavior","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2013-2014","Personally Threatening Behavior","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2013-2014","Theft Related Behaviors","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2013-2014","Physical and Verbal Confrontation","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2013-2014","Fighting and Battery","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2013-2014","Property Damage","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2013-2014","Weapons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2014-2015","Violent Crimes Against Persons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2014-2015","School Policy Violations","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2014-2015","Sexually Related Behavior","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2014-2015","Personally Threatening Behavior","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2014-2015","Theft Related Behaviors","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2014-2015","Physical and Verbal Confrontation","Incidents","Number",8,2,"South Central"
"Bethany School District",NA,"2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2014-2015","Property Damage","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2014-2015","Weapons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2015-2016","Violent Crimes Against Persons","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2015-2016","School Policy Violations","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2015-2016","Sexually Related Behavior","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2015-2016","Personally Threatening Behavior","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2015-2016","Theft Related Behaviors","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2015-2016","Physical and Verbal Confrontation","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2015-2016","Fighting and Battery","Incidents","Number",6,2,"South Central"
"Bethany School District",NA,"2015-2016","Property Damage","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2015-2016","Weapons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2016-2017","Personally Threatening Behavior","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2016-2017","Violent Crimes Against Persons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2016-2017","School Policy Violations","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2016-2017","Sexually Related Behavior","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2016-2017","Property Damage","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2016-2017","Theft Related Behaviors","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2016-2017","Physical and Verbal Confrontation","Incidents","Number",6,2,"South Central"
"Bethany School District",NA,"2016-2017","Fighting and Battery","Incidents","Number",-9999,2,"South Central"
"Bethany School District",NA,"2016-2017","Weapons","Incidents","Number",0,2,"South Central"
"Bethany School District",NA,"2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number",0,2,"South Central"
"Bethel School District",900104720,"2010-2011","Property Damage","Incidents","Number",7,5,"Western"
"Bethel School District",900104720,"2013-2014","School Policy Violations","Incidents","Number",271,5,"Western"
"Bethel School District",900104720,"2013-2014","Sexually Related Behavior","Incidents","Number",6,5,"Western"
"Bethel School District",900104720,"2013-2014","Personally Threatening Behavior","Incidents","Number",44,5,"Western"
"Bethel School District",900104720,"2013-2014","Theft Related Behaviors","Incidents","Number",-9999,5,"Western"
"Bethel School District",900104720,"2013-2014","Physical and Verbal Confrontation","Incidents","Number",34,5,"Western"
"Bethel School District",900104720,"2013-2014","Fighting and Battery","Incidents","Number",20,5,"Western"
"Bethel School District",900104720,"2013-2014","Property Damage","Incidents","Number",8,5,"Western"
"Bethel School District",900104720,"2013-2014","Weapons","Incidents","Number",-9999,5,"Western"
"Bethel School District",900104720,"2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number",14,5,"Western"
"Bethel School District",900104720,"2014-2015","Violent Crimes Against Persons","Incidents","Number",0,5,"Western"
"Bethel School District",900104720,"2014-2015","School Policy Violations","Incidents","Number",324,5,"Western"
"Bethel School District",900104720,"2014-2015","Sexually Related Behavior","Incidents","Number",16,5,"Western"
"Bethel School District",900104720,"2014-2015","Personally Threatening Behavior","Incidents","Number",43,5,"Western"
"Bethel School District",900104720,"2014-2015","Theft Related Behaviors","Incidents","Number",17,5,"Western"
"Bethel School District",900104720,"2014-2015","Physical and Verbal Confrontation","Incidents","Number",30,5,"Western"
"Bethel School District",900104720,"2014-2015","Fighting and Battery","Incidents","Number",27,5,"Western"
"Bethel School District",900104720,"2014-2015","Property Damage","Incidents","Number",8,5,"Western"
"Bethel School District",900104720,"2010-2011","Weapons","Incidents","Number",-9999,5,"Western"
"Bethel School District",900104720,"2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number",14,5,"Western"
"Bethel School District",900104720,"2011-2012","Violent Crimes Against Persons","Incidents","Number",-9999,5,"Western"
"Bethel School District",900104720,"2011-2012","School Policy Violations","Incidents","Number",339,5,"Western"
"Bethel School District",900104720,"2011-2012","Sexually Related Behavior","Incidents","Number",-9999,5,"Western"
"Bethel School District",900104720,"2011-2012","Personally Threatening Behavior","Incidents","Number",46,5,"Western"
"Bethel School District",900104720,"2011-2012","Theft Related Behaviors","Incidents","Number",15,5,"Western"
"Bethel School District",900104720,"2011-2012","Physical and Verbal Confrontation","Incidents","Number",21,5,"Western"
"Bethel School District",900104720,"2011-2012","Fighting and Battery","Incidents","Number",30,5,"Western"
"Bethel School District",900104720,"2011-2012","Property Damage","Incidents","Number",6,5,"Western"
"Bethel School District",900104720,"2011-2012","Weapons","Incidents","Number",-9999,5,"Western"
"Bethel School District",900104720,"2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number",18,5,"Western"
"Bethel School District",900104720,"2012-2013","Violent Crimes Against Persons","Incidents","Number",-9999,5,"Western"
"Bethel School District",900104720,"2012-2013","School Policy Violations","Incidents","Number",381,5,"Western"
"Bethel School District",900104720,"2012-2013","Sexually Related Behavior","Incidents","Number",33,5,"Western"
"Bethel School District",900104720,"2012-2013","Personally Threatening Behavior","Incidents","Number",54,5,"Western"
"Bethel School District",900104720,"2012-2013","Theft Related Behaviors","Incidents","Number",-9999,5,"Western"
"Bethel School District",900104720,"2012-2013","Physical and Verbal Confrontation","Incidents","Number",35,5,"Western"
"Bethel School District",900104720,"2012-2013","Fighting and Battery","Incidents","Number",25,5,"Western"
"Bethel School District",900104720,"2012-2013","Property Damage","Incidents","Number",8,5,"Western"
"Bethel School District",900104720,"2012-2013","Weapons","Incidents","Number",-9999,5,"Western"
"Bethel School District",900104720,"2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number",25,5,"Western"
"Bethel School District",900104720,"2013-2014","Violent Crimes Against Persons","Incidents","Number",0,5,"Western"
"Bethel School District",900104720,"2009-2010","Violent Crimes Against Persons","Incidents","Number",0,5,"Western"
"Bethel School District",900104720,"2009-2010","School Policy Violations","Incidents","Number",349,5,"Western"
"Bethel School District",900104720,"2009-2010","Sexually Related Behavior","Incidents","Number",9,5,"Western"
"Bethel School District",900104720,"2009-2010","Personally Threatening Behavior","Incidents","Number",35,5,"Western"
"Bethel School District",900104720,"2009-2010","Theft Related Behaviors","Incidents","Number",7,5,"Western"
"Bethel School District",900104720,"2009-2010","Physical and Verbal Confrontation","Incidents","Number",25,5,"Western"
"Bethel School District",900104720,"2009-2010","Fighting and Battery","Incidents","Number",34,5,"Western"
"Bethel School District",900104720,"2009-2010","Property Damage","Incidents","Number",7,5,"Western"
"Bethel School District",900104720,"2009-2010","Weapons","Incidents","Number",8,5,"Western"
"Bethel School District",900104720,"2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number",11,5,"Western"
"Bethel School District",900104720,"2010-2011","Violent Crimes Against Persons","Incidents","Number",-9999,5,"Western"
"Bethel School District",900104720,"2010-2011","School Policy Violations","Incidents","Number",270,5,"Western"
"Bethel School District",900104720,"2010-2011","Sexually Related Behavior","Incidents","Number",14,5,"Western"
"Bethel School District",900104720,"2010-2011","Personally Threatening Behavior","Incidents","Number",48,5,"Western"
"Bethel School District",900104720,"2010-2011","Theft Related Behaviors","Incidents","Number",12,5,"Western"
"Bethel School District",900104720,"2010-2011","Physical and Verbal Confrontation","Incidents","Number",14,5,"Western"
"Bethel School District",900104720,"2010-2011","Fighting and Battery","Incidents","Number",25,5,"Western"
"Bethel School District",900104720,"2016-2017","Violent Crimes Against Persons","Incidents","Number",-9999,5,"Western"
"Bethel School District",900104720,"2014-2015","Weapons","Incidents","Number",8,5,"Western"
"Bethel School District",900104720,"2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number",22,5,"Western"
"Bethel School District",900104720,"2015-2016","Violent Crimes Against Persons","Incidents","Number",-9999,5,"Western"
"Bethel School District",900104720,"2015-2016","School Policy Violations","Incidents","Number",260,5,"Western"
