"District","FIPS","Year","Incident Type","Variable","Measure Type","Value"
"Capital Preparatory Harbor School Inc. District",NA,"2009-2010","Property Damage","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2009-2010","Weapons","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2010-2011","Violent Crimes Against Persons","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2010-2011","School Policy Violations","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2010-2011","Sexually Related Behavior","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2010-2011","Personally Threatening Behavior","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2010-2011","Theft Related Behaviors","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2010-2011","Physical and Verbal Confrontation","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2010-2011","Fighting and Battery","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2010-2011","Property Damage","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2010-2011","Weapons","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2011-2012","Violent Crimes Against Persons","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2011-2012","School Policy Violations","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2011-2012","Sexually Related Behavior","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2011-2012","Personally Threatening Behavior","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2011-2012","Theft Related Behaviors","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2011-2012","Physical and Verbal Confrontation","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2011-2012","Fighting and Battery","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2011-2012","Property Damage","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2011-2012","Weapons","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Violent Crimes Against Persons","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","School Policy Violations","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Sexually Related Behavior","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Personally Threatening Behavior","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Theft Related Behaviors","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Physical and Verbal Confrontation","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Fighting and Battery","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Property Damage","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Weapons","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Violent Crimes Against Persons","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","School Policy Violations","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Sexually Related Behavior","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Personally Threatening Behavior","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Theft Related Behaviors","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Physical and Verbal Confrontation","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Fighting and Battery","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Property Damage","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Weapons","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Violent Crimes Against Persons","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","School Policy Violations","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Sexually Related Behavior","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Personally Threatening Behavior","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Theft Related Behaviors","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Physical and Verbal Confrontation","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Fighting and Battery","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Property Damage","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Weapons","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Violent Crimes Against Persons","Incidents","Number",-9999
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","School Policy Violations","Incidents","Number",50
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Sexually Related Behavior","Incidents","Number",0
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Personally Threatening Behavior","Incidents","Number",-9999
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Theft Related Behaviors","Incidents","Number",-9999
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Physical and Verbal Confrontation","Incidents","Number",26
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Fighting and Battery","Incidents","Number",9
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Property Damage","Incidents","Number",-9999
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Weapons","Incidents","Number",-9999
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number",0
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Violent Crimes Against Persons","Incidents","Number",0
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","School Policy Violations","Incidents","Number",98
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Sexually Related Behavior","Incidents","Number",-9999
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Personally Threatening Behavior","Incidents","Number",10
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Theft Related Behaviors","Incidents","Number",-9999
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Physical and Verbal Confrontation","Incidents","Number",9
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Fighting and Battery","Incidents","Number",14
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Property Damage","Incidents","Number",-9999
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Weapons","Incidents","Number",-9999
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number",-9999
"Capitol Region Education Council",NA,"2009-2010","Violent Crimes Against Persons","Incidents","Number",6
"Capitol Region Education Council",NA,"2009-2010","School Policy Violations","Incidents","Number",572
"Capitol Region Education Council",NA,"2009-2010","Sexually Related Behavior","Incidents","Number",33
"Capitol Region Education Council",NA,"2009-2010","Personally Threatening Behavior","Incidents","Number",131
"Capitol Region Education Council",NA,"2009-2010","Theft Related Behaviors","Incidents","Number",33
"Capitol Region Education Council",NA,"2009-2010","Physical and Verbal Confrontation","Incidents","Number",219
"Capitol Region Education Council",NA,"2009-2010","Fighting and Battery","Incidents","Number",274
"Capitol Region Education Council",NA,"2009-2010","Property Damage","Incidents","Number",21
"Capitol Region Education Council",NA,"2009-2010","Weapons","Incidents","Number",8
"Capitol Region Education Council",NA,"2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number",20
"Capitol Region Education Council",NA,"2010-2011","Violent Crimes Against Persons","Incidents","Number",-9999
"Capitol Region Education Council",NA,"2010-2011","School Policy Violations","Incidents","Number",809
"Capitol Region Education Council",NA,"2010-2011","Sexually Related Behavior","Incidents","Number",25
"Capitol Region Education Council",NA,"2010-2011","Personally Threatening Behavior","Incidents","Number",92
"Capitol Region Education Council",NA,"2010-2011","Theft Related Behaviors","Incidents","Number",41
"Capitol Region Education Council",NA,"2010-2011","Physical and Verbal Confrontation","Incidents","Number",259
"Capitol Region Education Council",NA,"2010-2011","Fighting and Battery","Incidents","Number",197
"Capitol Region Education Council",NA,"2010-2011","Property Damage","Incidents","Number",29
"Capitol Region Education Council",NA,"2010-2011","Weapons","Incidents","Number",-9999
"Capitol Region Education Council",NA,"2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number",12
"Capitol Region Education Council",NA,"2011-2012","Violent Crimes Against Persons","Incidents","Number",-9999
"Capitol Region Education Council",NA,"2011-2012","School Policy Violations","Incidents","Number",378
"Capitol Region Education Council",NA,"2011-2012","Sexually Related Behavior","Incidents","Number",11
"Capitol Region Education Council",NA,"2011-2012","Personally Threatening Behavior","Incidents","Number",76
"Capitol Region Education Council",NA,"2011-2012","Theft Related Behaviors","Incidents","Number",12
"Capitol Region Education Council",NA,"2011-2012","Physical and Verbal Confrontation","Incidents","Number",50
"Capitol Region Education Council",NA,"2011-2012","Fighting and Battery","Incidents","Number",120
"Capitol Region Education Council",NA,"2011-2012","Property Damage","Incidents","Number",15
"Capitol Region Education Council",NA,"2011-2012","Weapons","Incidents","Number",10
"Capitol Region Education Council",NA,"2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number",-9999
"Capitol Region Education Council",NA,"2012-2013","Violent Crimes Against Persons","Incidents","Number",-9999
"Capitol Region Education Council",NA,"2012-2013","School Policy Violations","Incidents","Number",1136
"Capitol Region Education Council",NA,"2012-2013","Sexually Related Behavior","Incidents","Number",35
"Capitol Region Education Council",NA,"2012-2013","Personally Threatening Behavior","Incidents","Number",121
"Capitol Region Education Council",NA,"2012-2013","Theft Related Behaviors","Incidents","Number",21
"Capitol Region Education Council",NA,"2012-2013","Physical and Verbal Confrontation","Incidents","Number",164
"Capitol Region Education Council",NA,"2012-2013","Fighting and Battery","Incidents","Number",256
"Capitol Region Education Council",NA,"2012-2013","Property Damage","Incidents","Number",20
"Capitol Region Education Council",NA,"2012-2013","Weapons","Incidents","Number",-9999
"Capitol Region Education Council",NA,"2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number",15
"Capitol Region Education Council",NA,"2013-2014","Violent Crimes Against Persons","Incidents","Number",10
"Capitol Region Education Council",NA,"2013-2014","School Policy Violations","Incidents","Number",669
"Capitol Region Education Council",NA,"2013-2014","Sexually Related Behavior","Incidents","Number",26
"Capitol Region Education Council",NA,"2013-2014","Personally Threatening Behavior","Incidents","Number",106
"Capitol Region Education Council",NA,"2013-2014","Theft Related Behaviors","Incidents","Number",49
"Capitol Region Education Council",NA,"2013-2014","Physical and Verbal Confrontation","Incidents","Number",175
"Capitol Region Education Council",NA,"2013-2014","Fighting and Battery","Incidents","Number",298
"Capitol Region Education Council",NA,"2013-2014","Property Damage","Incidents","Number",17
"Capitol Region Education Council",NA,"2013-2014","Weapons","Incidents","Number",18
"Capitol Region Education Council",NA,"2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number",50
"Capitol Region Education Council",NA,"2014-2015","Violent Crimes Against Persons","Incidents","Number",6
"Capitol Region Education Council",NA,"2014-2015","School Policy Violations","Incidents","Number",1104
"Capitol Region Education Council",NA,"2014-2015","Sexually Related Behavior","Incidents","Number",18
"Capitol Region Education Council",NA,"2014-2015","Personally Threatening Behavior","Incidents","Number",78
"Capitol Region Education Council",NA,"2014-2015","Theft Related Behaviors","Incidents","Number",47
"Capitol Region Education Council",NA,"2014-2015","Physical and Verbal Confrontation","Incidents","Number",82
"Capitol Region Education Council",NA,"2014-2015","Fighting and Battery","Incidents","Number",403
"Capitol Region Education Council",NA,"2014-2015","Property Damage","Incidents","Number",22
"Capitol Region Education Council",NA,"2014-2015","Weapons","Incidents","Number",20
"Capitol Region Education Council",NA,"2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number",40
"Capitol Region Education Council",NA,"2015-2016","Violent Crimes Against Persons","Incidents","Number",-9999
"Capitol Region Education Council",NA,"2015-2016","School Policy Violations","Incidents","Number",1418
"Capitol Region Education Council",NA,"2015-2016","Sexually Related Behavior","Incidents","Number",23
"Capitol Region Education Council",NA,"2015-2016","Personally Threatening Behavior","Incidents","Number",114
"Capitol Region Education Council",NA,"2015-2016","Theft Related Behaviors","Incidents","Number",49
"Capitol Region Education Council",NA,"2015-2016","Physical and Verbal Confrontation","Incidents","Number",265
"Capitol Region Education Council",NA,"2015-2016","Fighting and Battery","Incidents","Number",190
"Capitol Region Education Council",NA,"2015-2016","Property Damage","Incidents","Number",19
"Capitol Region Education Council",NA,"2015-2016","Weapons","Incidents","Number",14
"Capitol Region Education Council",NA,"2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number",39
"Capitol Region Education Council",NA,"2016-2017","Violent Crimes Against Persons","Incidents","Number",-9999
"Capitol Region Education Council",NA,"2016-2017","School Policy Violations","Incidents","Number",1251
"Capitol Region Education Council",NA,"2016-2017","Sexually Related Behavior","Incidents","Number",24
"Capitol Region Education Council",NA,"2016-2017","Personally Threatening Behavior","Incidents","Number",103
"Capitol Region Education Council",NA,"2016-2017","Theft Related Behaviors","Incidents","Number",36
"Capitol Region Education Council",NA,"2016-2017","Physical and Verbal Confrontation","Incidents","Number",23
"Capitol Region Education Council",NA,"2016-2017","Fighting and Battery","Incidents","Number",377
"Capitol Region Education Council",NA,"2016-2017","Property Damage","Incidents","Number",35
"Capitol Region Education Council",NA,"2016-2017","Weapons","Incidents","Number",12
"Capitol Region Education Council",NA,"2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number",33
"Chaplin School District",NA,"2009-2010","Violent Crimes Against Persons","Incidents","Number",0
"Chaplin School District",NA,"2009-2010","School Policy Violations","Incidents","Number",0
"Chaplin School District",NA,"2009-2010","Sexually Related Behavior","Incidents","Number",-9999
"Chaplin School District",NA,"2009-2010","Personally Threatening Behavior","Incidents","Number",-9999
"Chaplin School District",NA,"2009-2010","Theft Related Behaviors","Incidents","Number",0
"Chaplin School District",NA,"2009-2010","Physical and Verbal Confrontation","Incidents","Number",0
"Chaplin School District",NA,"2009-2010","Fighting and Battery","Incidents","Number",0
"Chaplin School District",NA,"2009-2010","Property Damage","Incidents","Number",-9999
"Chaplin School District",NA,"2009-2010","Weapons","Incidents","Number",0
"Chaplin School District",NA,"2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number",0
"Chaplin School District",NA,"2010-2011","Violent Crimes Against Persons","Incidents","Number",0
"Chaplin School District",NA,"2010-2011","School Policy Violations","Incidents","Number",0
"Chaplin School District",NA,"2010-2011","Sexually Related Behavior","Incidents","Number",-9999
"Chaplin School District",NA,"2010-2011","Personally Threatening Behavior","Incidents","Number",0
"Chaplin School District",NA,"2010-2011","Theft Related Behaviors","Incidents","Number",-9999
"Chaplin School District",NA,"2010-2011","Physical and Verbal Confrontation","Incidents","Number",0
"Chaplin School District",NA,"2010-2011","Fighting and Battery","Incidents","Number",0
"Chaplin School District",NA,"2010-2011","Property Damage","Incidents","Number",0
"Chaplin School District",NA,"2010-2011","Weapons","Incidents","Number",0
"Chaplin School District",NA,"2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number",0
"Chaplin School District",NA,"2011-2012","Violent Crimes Against Persons","Incidents","Number",0
"Chaplin School District",NA,"2011-2012","School Policy Violations","Incidents","Number",0
"Chaplin School District",NA,"2011-2012","Sexually Related Behavior","Incidents","Number",-9999
"Chaplin School District",NA,"2011-2012","Personally Threatening Behavior","Incidents","Number",-9999
"Chaplin School District",NA,"2011-2012","Theft Related Behaviors","Incidents","Number",0
"Chaplin School District",NA,"2011-2012","Physical and Verbal Confrontation","Incidents","Number",0
"Chaplin School District",NA,"2011-2012","Fighting and Battery","Incidents","Number",0
"Chaplin School District",NA,"2011-2012","Property Damage","Incidents","Number",0
"Chaplin School District",NA,"2011-2012","Weapons","Incidents","Number",-9999
"Chaplin School District",NA,"2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number",0
"Chaplin School District",NA,"2012-2013","Violent Crimes Against Persons","Incidents","Number",0
"Chaplin School District",NA,"2012-2013","School Policy Violations","Incidents","Number",-9999
"Chaplin School District",NA,"2012-2013","Sexually Related Behavior","Incidents","Number",0
"Chaplin School District",NA,"2012-2013","Personally Threatening Behavior","Incidents","Number",0
"Chaplin School District",NA,"2012-2013","Theft Related Behaviors","Incidents","Number",-9999
"Chaplin School District",NA,"2012-2013","Physical and Verbal Confrontation","Incidents","Number",0
"Chaplin School District",NA,"2012-2013","Fighting and Battery","Incidents","Number",-9999
"Chaplin School District",NA,"2012-2013","Property Damage","Incidents","Number",0
"Chaplin School District",NA,"2012-2013","Weapons","Incidents","Number",0
"Chaplin School District",NA,"2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number",0
"Chaplin School District",NA,"2013-2014","Violent Crimes Against Persons","Incidents","Number",0
"Chaplin School District",NA,"2013-2014","School Policy Violations","Incidents","Number",0
"Chaplin School District",NA,"2013-2014","Sexually Related Behavior","Incidents","Number",0
"Chaplin School District",NA,"2013-2014","Personally Threatening Behavior","Incidents","Number",0
"Chaplin School District",NA,"2013-2014","Theft Related Behaviors","Incidents","Number",0
"Chaplin School District",NA,"2013-2014","Physical and Verbal Confrontation","Incidents","Number",0
"Chaplin School District",NA,"2013-2014","Fighting and Battery","Incidents","Number",-9999
"Chaplin School District",NA,"2013-2014","Property Damage","Incidents","Number",0
"Chaplin School District",NA,"2013-2014","Weapons","Incidents","Number",-9999
"Chaplin School District",NA,"2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number",0
"Chaplin School District",NA,"2014-2015","Violent Crimes Against Persons","Incidents","Number",-6666
"Chaplin School District",NA,"2014-2015","School Policy Violations","Incidents","Number",-6666
"Chaplin School District",NA,"2014-2015","Sexually Related Behavior","Incidents","Number",-6666
"Chaplin School District",NA,"2014-2015","Personally Threatening Behavior","Incidents","Number",-6666
"Chaplin School District",NA,"2014-2015","Theft Related Behaviors","Incidents","Number",-6666
"Chaplin School District",NA,"2014-2015","Physical and Verbal Confrontation","Incidents","Number",-6666
"Chaplin School District",NA,"2014-2015","Fighting and Battery","Incidents","Number",-6666
"Chaplin School District",NA,"2014-2015","Property Damage","Incidents","Number",-6666
"Chaplin School District",NA,"2014-2015","Weapons","Incidents","Number",-6666
"Chaplin School District",NA,"2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Chaplin School District",NA,"2015-2016","Violent Crimes Against Persons","Incidents","Number",0
"Chaplin School District",NA,"2015-2016","School Policy Violations","Incidents","Number",0
"Chaplin School District",NA,"2015-2016","Sexually Related Behavior","Incidents","Number",0
"Chaplin School District",NA,"2015-2016","Personally Threatening Behavior","Incidents","Number",-9999
"Chaplin School District",NA,"2015-2016","Theft Related Behaviors","Incidents","Number",0
"Chaplin School District",NA,"2015-2016","Physical and Verbal Confrontation","Incidents","Number",0
"Chaplin School District",NA,"2015-2016","Fighting and Battery","Incidents","Number",0
"Chaplin School District",NA,"2015-2016","Property Damage","Incidents","Number",0
"Chaplin School District",NA,"2015-2016","Weapons","Incidents","Number",0
"Chaplin School District",NA,"2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number",0
"Chaplin School District",NA,"2016-2017","Violent Crimes Against Persons","Incidents","Number",0
"Chaplin School District",NA,"2016-2017","School Policy Violations","Incidents","Number",-9999
"Chaplin School District",NA,"2016-2017","Sexually Related Behavior","Incidents","Number",0
"Chaplin School District",NA,"2016-2017","Personally Threatening Behavior","Incidents","Number",0
"Chaplin School District",NA,"2016-2017","Theft Related Behaviors","Incidents","Number",0
"Chaplin School District",NA,"2016-2017","Physical and Verbal Confrontation","Incidents","Number",-9999
"Chaplin School District",NA,"2016-2017","Fighting and Battery","Incidents","Number",-9999
"Chaplin School District",NA,"2016-2017","Property Damage","Incidents","Number",-9999
"Chaplin School District",NA,"2016-2017","Weapons","Incidents","Number",0
"Chaplin School District",NA,"2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number",0
"Charter School for Young Children on Asylum Hill",NA,"2009-2010","Violent Crimes Against Persons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2009-2010","School Policy Violations","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2009-2010","Sexually Related Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2009-2010","Personally Threatening Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2009-2010","Theft Related Behaviors","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2009-2010","Physical and Verbal Confrontation","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2009-2010","Fighting and Battery","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2009-2010","Property Damage","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2009-2010","Weapons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2010-2011","Violent Crimes Against Persons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2010-2011","School Policy Violations","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2010-2011","Sexually Related Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2010-2011","Personally Threatening Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2010-2011","Theft Related Behaviors","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2010-2011","Physical and Verbal Confrontation","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2010-2011","Fighting and Battery","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2010-2011","Property Damage","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2010-2011","Weapons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2011-2012","Violent Crimes Against Persons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2011-2012","School Policy Violations","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2011-2012","Sexually Related Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2011-2012","Personally Threatening Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2011-2012","Theft Related Behaviors","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2011-2012","Physical and Verbal Confrontation","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2011-2012","Fighting and Battery","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2011-2012","Property Damage","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2011-2012","Weapons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Violent Crimes Against Persons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","School Policy Violations","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Sexually Related Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Personally Threatening Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Theft Related Behaviors","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Physical and Verbal Confrontation","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Fighting and Battery","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Property Damage","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Weapons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Violent Crimes Against Persons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","School Policy Violations","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Sexually Related Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Personally Threatening Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Theft Related Behaviors","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Physical and Verbal Confrontation","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Fighting and Battery","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Property Damage","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Weapons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Violent Crimes Against Persons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","School Policy Violations","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Sexually Related Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Personally Threatening Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Theft Related Behaviors","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Physical and Verbal Confrontation","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Fighting and Battery","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Property Damage","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Weapons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2015-2016","Violent Crimes Against Persons","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2015-2016","School Policy Violations","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2015-2016","Sexually Related Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2015-2016","Personally Threatening Behavior","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2015-2016","Theft Related Behaviors","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2015-2016","Physical and Verbal Confrontation","Incidents","Number",-6666
"Charter School for Young Children on Asylum Hill",NA,"2015-2016","Fighting and Battery","Incidents","Number",-6666
