"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value"
"Columbia School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",54
"Columbia School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",10.6
"Columbia School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",511
"Columbia School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",32
"Columbia School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",6.8
"Columbia School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",0
"Columbia School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",0
"Columbia School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",53
"Columbia School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",11.2
"Columbia School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",474
"Columbia School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",87
"Columbia School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",19
"Columbia School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",0
"Columbia School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",0
"Columbia School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",55
"Columbia School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",12
"Columbia School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",458
"Columbia School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",66
"Columbia School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",14.5
"Columbia School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",0
"Columbia School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",0
"Columbia School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",62
"Columbia School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",13.7
"Columbia School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",454
"Columbia School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",80
"Columbia School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",18.4
"Columbia School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",0
"Columbia School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",0
"Columbia School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",65
"Columbia School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",15
"Columbia School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",434
"Columbia School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",74
"Columbia School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",16.9
"Columbia School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",-9999
"Columbia School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",-9999
"Columbia School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",61
"Columbia School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",14
"Columbia School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",437
"Common Ground High School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",82
"Common Ground High School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",49.7
"Common Ground High School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",-9999
"Common Ground High School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",-9999
"Common Ground High School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",15
"Common Ground High School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",9.1
"Common Ground High School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",165
"Common Ground High School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",98
"Common Ground High School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",58
"Common Ground High School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",-9999
"Common Ground High School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",-9999
"Common Ground High School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",21
"Common Ground High School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",12.4
"Common Ground High School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",169
"Common Ground High School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",103
"Common Ground High School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",57.2
"Common Ground High School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",-9999
"Common Ground High School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",-9999
"Common Ground High School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",31
"Common Ground High School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",17.2
"Common Ground High School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",180
"Common Ground High School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",95
"Common Ground High School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",52.8
"Common Ground High School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",-9999
"Common Ground High School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",-9999
"Common Ground High School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",30
"Common Ground High School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",16.7
"Common Ground High School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",180
"Common Ground High School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",78
"Common Ground High School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",41.9
"Common Ground High School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999
"Common Ground High School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999
"Common Ground High School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",36
"Common Ground High School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",19.4
"Common Ground High School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",186
"Common Ground High School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",98
"Common Ground High School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",49
"Common Ground High School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",-9999
"Common Ground High School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",-9999
"Common Ground High School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",37
"Common Ground High School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",18.5
"Common Ground High School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",200
"Common Ground High School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",118
"Common Ground High School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",58.4
"Common Ground High School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",7
"Common Ground High School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",3.5
"Common Ground High School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",35
"Common Ground High School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",17.3
"Common Ground High School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",202
"Connecticut Technical High School System",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",4333
"Connecticut Technical High School System",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",40.7
"Connecticut Technical High School System",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",276
"Connecticut Technical High School System",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",2.6
"Connecticut Technical High School System",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",760
"Connecticut Technical High School System",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",7.1
"Connecticut Technical High School System",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",10656
"Connecticut Technical High School System",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",4291
"Connecticut Technical High School System",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",40.3
"Connecticut Technical High School System",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",280
"Connecticut Technical High School System",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",2.6
"Connecticut Technical High School System",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",798
"Connecticut Technical High School System",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",7.5
"Connecticut Technical High School System",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",10651
"Connecticut Technical High School System",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",4877
"Connecticut Technical High School System",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",45.6
"Connecticut Technical High School System",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",287
"Connecticut Technical High School System",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",2.7
"Connecticut Technical High School System",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",880
"Connecticut Technical High School System",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",8.2
"Connecticut Technical High School System",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",10698
"Connecticut Technical High School System",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",4622
"Connecticut Technical High School System",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",42.8
"Connecticut Technical High School System",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",360
"Connecticut Technical High School System",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",3.3
"Connecticut Technical High School System",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",965
"Connecticut Technical High School System",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",8.9
"Connecticut Technical High School System",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",10790
"Connecticut Technical High School System",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",4671
"Connecticut Technical High School System",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",43.6
"Connecticut Technical High School System",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",374
"Connecticut Technical High School System",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",3.5
"Connecticut Technical High School System",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",1017
"Connecticut Technical High School System",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",9.5
"Connecticut Technical High School System",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",10710
"Connecticut Technical High School System",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",4502
"Connecticut Technical High School System",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",42.6
"Connecticut Technical High School System",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",384
"Connecticut Technical High School System",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",3.6
"Connecticut Technical High School System",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",998
"Connecticut Technical High School System",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",9.5
"Connecticut Technical High School System",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",10556
"Connecticut Technical High School System",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",4054
"Connecticut Technical High School System",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",37.8
"Connecticut Technical High School System",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",375
"Connecticut Technical High School System",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",3.5
"Connecticut Technical High School System",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",1033
"Connecticut Technical High School System",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",9.6
"Connecticut Technical High School System",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",10729
"Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",279
"Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",34.3
"Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",0
"Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",0
"Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",327
"Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",40.2
"Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",813
"Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",275
"Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",32.8
"Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",0
"Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",0
"Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",347
"Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",41.4
"Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",838
"Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",238
"Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",29
"Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",0
"Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",0
"Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",341
"Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",41.5
"Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",822
"Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",284
"Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",33.5
"Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",0
"Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",0
"Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",343
"Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",40.4
"Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",849
"Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",292
"Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",33.6
"Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999
"Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999
"Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",360
"Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",41.4
"Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",869
"Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",311
"Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",36.9
"Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",-9999
"Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",-9999
"Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",336
"Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",39.9
"Cooperative Educational Services",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",842
"Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",304
"Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",36.5
"Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",9
"Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",1.1
"Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",345
"Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",41.4
"Cooperative Educational Services",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",834
"Cornwall School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",19
"Cornwall School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",17.9
"Cornwall School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",0
"Cornwall School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",0
"Cornwall School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",15
"Cornwall School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",14.2
"Cornwall School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",106
"Cornwall School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",21
"Cornwall School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20.4
"Cornwall School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",-9999
"Cornwall School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",-9999
"Cornwall School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",13
"Cornwall School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",12.6
"Cornwall School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",103
"Cornwall School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",22
"Cornwall School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",21
"Cornwall School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",-9999
"Cornwall School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",-9999
"Cornwall School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",17
"Cornwall School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",16.2
"Cornwall School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",105
"Cornwall School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",16
"Cornwall School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",17.6
"Cornwall School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",-9999
"Cornwall School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",-9999
"Cornwall School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",15
"Cornwall School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",16.5
"Cornwall School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",91
"Cornwall School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",15
"Cornwall School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",16.3
"Cornwall School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999
"Cornwall School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999
"Cornwall School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",14
"Cornwall School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",15.2
"Cornwall School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",92
"Cornwall School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",10
"Cornwall School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",13.9
"Cornwall School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",-9999
"Cornwall School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",-9999
"Cornwall School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",9
"Cornwall School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",12.5
"Cornwall School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",72
"Cornwall School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",7
"Cornwall School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",9.6
"Cornwall School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",-9999
"Cornwall School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",-9999
"Cornwall School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",11
"Cornwall School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",15.1
"Cornwall School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",73
"Coventry School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",301
"Coventry School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",16.8
"Coventry School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",-9999
"Coventry School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",-9999
"Coventry School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",215
"Coventry School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",12
"Coventry School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",1796
"Coventry School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",293
"Coventry School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",16.9
"Coventry School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",0
"Coventry School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",0
"Coventry School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",213
"Coventry School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",12.3
"Coventry School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",1735
"Coventry School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",302
"Coventry School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",17.8
"Coventry School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",-9999
"Coventry School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",-9999
"Coventry School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",220
"Coventry School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",13
"Coventry School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",1693
"Coventry School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",330
"Coventry School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20
"Coventry School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",10
"Coventry School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",0.6
"Coventry School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",225
"Coventry School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",13.6
"Coventry School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",1651
"Coventry School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",333
"Coventry School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20.4
"Coventry School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",6
"Coventry School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",0.4
"Coventry School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",225
"Coventry School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",13.8
"Coventry School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",1634
"Coventry School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",330
"Coventry School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20.3
"Coventry School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",-9999
"Coventry School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",-9999
"Coventry School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",229
"Coventry School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",14.1
"Coventry School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",1625
"Coventry School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",328
"Coventry School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",19.4
"Coventry School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",8
"Coventry School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",0.5
"Coventry School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",245
"Coventry School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",14.5
"Coventry School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",1690
"Cromwell School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",343
"Cromwell School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",17.2
"Cromwell School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",41
"Cromwell School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",2.1
"Cromwell School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",219
"Cromwell School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",10.9
"Cromwell School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",2000
"Cromwell School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",369
"Cromwell School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",18.6
