"Town","FIPS","Year","Measure Type","Variable","Value","Region"
"Clinton",900715350,"2008-2012","Number","Deaths",10,"Eastern Region"
"Clinton",900715350,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Clinton",900715350,"2010-2014","Crude Rate (per 100,000)","Deaths",13.63,"Eastern Region"
"Clinton",900715350,"2010-2014","Number","Deaths",9,"Eastern Region"
"Colchester",901115910,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Colchester",901115910,"2006-2010","Crude Rate (per 100,000)","Deaths",10.1,"Eastern Region"
"Colchester",901115910,"2006-2010","Number","Deaths",8,"Eastern Region"
"Colchester",901115910,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Colchester",901115910,"2007-2011","Crude Rate (per 100,000)","Deaths",12.56,"Eastern Region"
"Colchester",901115910,"2007-2011","Number","Deaths",10,"Eastern Region"
"Colchester",901115910,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Colchester",901115910,"2008-2012","Crude Rate (per 100,000)","Deaths",13.69,"Eastern Region"
"Colchester",901115910,"2008-2012","Number","Deaths",11,"Eastern Region"
"Colchester",901115910,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Colchester",901115910,"2010-2014","Crude Rate (per 100,000)","Deaths",13.64,"Eastern Region"
"Colchester",901115910,"2010-2014","Number","Deaths",11,"Eastern Region"
"Colebrook",900516050,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Colebrook",900516050,"2006-2010","Crude Rate (per 100,000)","Deaths",14.7,"Western Region"
"Colebrook",900516050,"2006-2010","Number","Deaths",1,"Western Region"
"Colebrook",900516050,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Colebrook",900516050,"2007-2011","Crude Rate (per 100,000)","Deaths",14.34,"Western Region"
"Colebrook",900516050,"2007-2011","Number","Deaths",1,"Western Region"
"Colebrook",900516050,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Colebrook",900516050,"2008-2012","Crude Rate (per 100,000)","Deaths",13.48,"Western Region"
"Colebrook",900516050,"2008-2012","Number","Deaths",1,"Western Region"
"Colebrook",900516050,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Colebrook",900516050,"2010-2014","Crude Rate (per 100,000)","Deaths",27.31,"Western Region"
"Colebrook",900516050,"2010-2014","Number","Deaths",2,"Western Region"
"Columbia",901316400,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Columbia",901316400,"2006-2010","Crude Rate (per 100,000)","Deaths",14.75,"Eastern Region"
"Columbia",901316400,"2006-2010","Number","Deaths",4,"Eastern Region"
"Columbia",901316400,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Columbia",901316400,"2007-2011","Crude Rate (per 100,000)","Deaths",7.34,"Eastern Region"
"Columbia",901316400,"2007-2011","Number","Deaths",2,"Eastern Region"
"Columbia",901316400,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Columbia",901316400,"2008-2012","Crude Rate (per 100,000)","Deaths",7.29,"Eastern Region"
"Columbia",901316400,"2008-2012","Number","Deaths",2,"Eastern Region"
"Columbia",901316400,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Columbia",901316400,"2010-2014","Crude Rate (per 100,000)","Deaths",3.66,"Eastern Region"
"Columbia",901316400,"2010-2014","Number","Deaths",1,"Eastern Region"
"Connecticut",9,"2006-2010","AAMR (per 100,000)","Deaths",7.98,"Statewide"
"Connecticut",9,"2006-2010","Crude Rate (per 100,000)","Deaths",8.38,"Statewide"
"Connecticut",9,"2006-2010","Number","Deaths",1485,"Statewide"
"Connecticut",9,"2007-2011","AAMR (per 100,000)","Deaths",8.41,"Statewide"
"Connecticut",9,"2007-2011","Crude Rate (per 100,000)","Deaths",8.85,"Statewide"
"Connecticut",9,"2007-2011","Number","Deaths",1574,"Statewide"
"Connecticut",9,"2008-2012","AAMR (per 100,000)","Deaths",8.98,"Statewide"
"Connecticut",9,"2008-2012","Crude Rate (per 100,000)","Deaths",9.41,"Statewide"
"Connecticut",9,"2008-2012","Number","Deaths",1672,"Statewide"
"Connecticut",9,"2010-2014","AAMR (per 100,000)","Deaths",9.29,"Statewide"
"Connecticut",9,"2010-2014","Crude Rate (per 100,000)","Deaths",9.83,"Statewide"
"Connecticut",9,"2010-2014","Number","Deaths",1764,"Statewide"
"Cornwall",900517240,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Cornwall",900517240,"2006-2010","Crude Rate (per 100,000)","Deaths",12.59,"Western Region"
"Cornwall",900517240,"2006-2010","Number","Deaths",1,"Western Region"
"Cornwall",900517240,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Cornwall",900517240,"2007-2011","Crude Rate (per 100,000)","Deaths",40.84,"Western Region"
"Cornwall",900517240,"2007-2011","Number","Deaths",3,"Western Region"
"Cornwall",900517240,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Cornwall",900517240,"2008-2012","Crude Rate (per 100,000)","Deaths",28.19,"Western Region"
"Cornwall",900517240,"2008-2012","Number","Deaths",2,"Western Region"
"Cornwall",900517240,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Cornwall",900517240,"2010-2014","Crude Rate (per 100,000)","Deaths",28.41,"Western Region"
"Cornwall",900517240,"2010-2014","Number","Deaths",2,"Western Region"
"Coventry",901317800,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Coventry",901317800,"2006-2010","Crude Rate (per 100,000)","Deaths",11.33,"Eastern Region"
"Coventry",901317800,"2006-2010","Number","Deaths",7,"Eastern Region"
"Coventry",901317800,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Coventry",901317800,"2007-2011","Crude Rate (per 100,000)","Deaths",8.06,"Eastern Region"
"Coventry",901317800,"2007-2011","Number","Deaths",5,"Eastern Region"
"Coventry",901317800,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Coventry",901317800,"2008-2012","Crude Rate (per 100,000)","Deaths",11.26,"Eastern Region"
"Coventry",901317800,"2008-2012","Number","Deaths",7,"Eastern Region"
"Coventry",901317800,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Coventry",901317800,"2010-2014","Crude Rate (per 100,000)","Deaths",16.1,"Eastern Region"
"Coventry",901317800,"2010-2014","Number","Deaths",10,"Eastern Region"
"Cromwell",900718080,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Cromwell",900718080,"2006-2010","Crude Rate (per 100,000)","Deaths",10.08,"Eastern Region"
"Cromwell",900718080,"2006-2010","Number","Deaths",7,"Eastern Region"
"Cromwell",900718080,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Cromwell",900718080,"2007-2011","Crude Rate (per 100,000)","Deaths",15.77,"Eastern Region"
"Cromwell",900718080,"2007-2011","Number","Deaths",11,"Eastern Region"
"Cromwell",900718080,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Cromwell",900718080,"2008-2012","Crude Rate (per 100,000)","Deaths",17.14,"Eastern Region"
"Cromwell",900718080,"2008-2012","Number","Deaths",12,"Eastern Region"
"Cromwell",900718080,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Cromwell",900718080,"2010-2014","Crude Rate (per 100,000)","Deaths",19.86,"Eastern Region"
"Cromwell",900718080,"2010-2014","Number","Deaths",14,"Eastern Region"
"Danbury",900118500,"2006-2010","AAMR (per 100,000)","Deaths",7.93,"Western Region"
"Danbury",900118500,"2006-2010","Crude Rate (per 100,000)","Deaths",8.32,"Western Region"
"Danbury",900118500,"2006-2010","Number","Deaths",33,"Western Region"
"Danbury",900118500,"2007-2011","AAMR (per 100,000)","Deaths",6.59,"Western Region"
"Danbury",900118500,"2007-2011","Crude Rate (per 100,000)","Deaths",6.99,"Western Region"
"Danbury",900118500,"2007-2011","Number","Deaths",28,"Western Region"
"Danbury",900118500,"2008-2012","AAMR (per 100,000)","Deaths",6.9,"Western Region"
"Danbury",900118500,"2008-2012","Crude Rate (per 100,000)","Deaths",7.41,"Western Region"
"Danbury",900118500,"2008-2012","Number","Deaths",30,"Western Region"
"Danbury",900118500,"2010-2014","AAMR (per 100,000)","Deaths",7.33,"Western Region"
"Danbury",900118500,"2010-2014","Crude Rate (per 100,000)","Deaths",7.75,"Western Region"
"Danbury",900118500,"2010-2014","Number","Deaths",32,"Western Region"
"Darien",900118850,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Southwest Region"
"Darien",900118850,"2006-2010","Crude Rate (per 100,000)","Deaths",4.9,"Southwest Region"
"Darien",900118850,"2006-2010","Number","Deaths",5,"Southwest Region"
"Darien",900118850,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Southwest Region"
"Darien",900118850,"2007-2011","Crude Rate (per 100,000)","Deaths",5.83,"Southwest Region"
"Darien",900118850,"2007-2011","Number","Deaths",6,"Southwest Region"
"Darien",900118850,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Southwest Region"
"Darien",900118850,"2008-2012","Crude Rate (per 100,000)","Deaths",8.67,"Southwest Region"
"Darien",900118850,"2008-2012","Number","Deaths",9,"Southwest Region"
"Darien",900118850,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Southwest Region"
"Darien",900118850,"2010-2014","Crude Rate (per 100,000)","Deaths",9.45,"Southwest Region"
"Darien",900118850,"2010-2014","Number","Deaths",10,"Southwest Region"
"Deep River",900719130,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Deep River",900719130,"2006-2010","Crude Rate (per 100,000)","Deaths",4.31,"Eastern Region"
"Deep River",900719130,"2006-2010","Number","Deaths",1,"Eastern Region"
"Deep River",900719130,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Deep River",900719130,"2007-2011","Crude Rate (per 100,000)","Deaths",8.6,"Eastern Region"
"Deep River",900719130,"2007-2011","Number","Deaths",2,"Eastern Region"
"Deep River",900719130,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Deep River",900719130,"2008-2012","Crude Rate (per 100,000)","Deaths",4.32,"Eastern Region"
"Deep River",900719130,"2008-2012","Number","Deaths",1,"Eastern Region"
"Deep River",900719130,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Deep River",900719130,"2010-2014","Crude Rate (per 100,000)","Deaths",8.69,"Eastern Region"
"Deep River",900719130,"2010-2014","Number","Deaths",2,"Eastern Region"
"Derby",900919550,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Derby",900919550,"2006-2010","Crude Rate (per 100,000)","Deaths",4.68,"South Central Region"
"Derby",900919550,"2006-2010","Number","Deaths",3,"South Central Region"
"Derby",900919550,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Derby",900919550,"2007-2011","Crude Rate (per 100,000)","Deaths",7.79,"South Central Region"
"Derby",900919550,"2007-2011","Number","Deaths",5,"South Central Region"
"Derby",900919550,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Derby",900919550,"2008-2012","Crude Rate (per 100,000)","Deaths",9.3,"South Central Region"
"Derby",900919550,"2008-2012","Number","Deaths",6,"South Central Region"
"Derby",900919550,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Derby",900919550,"2010-2014","Crude Rate (per 100,000)","Deaths",9.35,"South Central Region"
"Derby",900919550,"2010-2014","Number","Deaths",6,"South Central Region"
"Durham",900720810,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Durham",900720810,"2006-2010","Crude Rate (per 100,000)","Deaths",10.97,"Eastern Region"
"Durham",900720810,"2006-2010","Number","Deaths",4,"Eastern Region"
"Durham",900720810,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Durham",900720810,"2007-2011","Crude Rate (per 100,000)","Deaths",13.62,"Eastern Region"
"Durham",900720810,"2007-2011","Number","Deaths",5,"Eastern Region"
"Durham",900720810,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Durham",900720810,"2008-2012","Crude Rate (per 100,000)","Deaths",10.83,"Eastern Region"
"Durham",900720810,"2008-2012","Number","Deaths",4,"Eastern Region"
"Durham",900720810,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Durham",900720810,"2010-2014","Crude Rate (per 100,000)","Deaths",13.56,"Eastern Region"
"Durham",900720810,"2010-2014","Number","Deaths",5,"Eastern Region"
"Eastford",901521860,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Eastford",901521860,"2006-2010","Crude Rate (per 100,000)","Deaths",24.6,"Eastern Region"
"Eastford",901521860,"2006-2010","Number","Deaths",2,"Eastern Region"
"Eastford",901521860,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Eastford",901521860,"2007-2011","Crude Rate (per 100,000)","Deaths",24.97,"Eastern Region"
"Eastford",901521860,"2007-2011","Number","Deaths",2,"Eastern Region"
"Eastford",901521860,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Eastford",901521860,"2008-2012","Crude Rate (per 100,000)","Deaths",34.29,"Eastern Region"
"Eastford",901521860,"2008-2012","Number","Deaths",3,"Eastern Region"
"Eastford",901521860,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Eastford",901521860,"2010-2014","Crude Rate (per 100,000)","Deaths",11.5,"Eastern Region"
"Eastford",901521860,"2010-2014","Number","Deaths",1,"Eastern Region"
"East Granby",900322070,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"East Granby",900322070,"2006-2010","Crude Rate (per 100,000)","Deaths",7.75,"North Central Region"
"East Granby",900322070,"2006-2010","Number","Deaths",2,"North Central Region"
"East Granby",900322070,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"East Granby",900322070,"2007-2011","Crude Rate (per 100,000)","Deaths",15.83,"North Central Region"
"East Granby",900322070,"2007-2011","Number","Deaths",4,"North Central Region"
"East Granby",900322070,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"East Granby",900322070,"2008-2012","Crude Rate (per 100,000)","Deaths",15.54,"North Central Region"
"East Granby",900322070,"2008-2012","Number","Deaths",4,"North Central Region"
"East Granby",900322070,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"East Granby",900322070,"2010-2014","Crude Rate (per 100,000)","Deaths",15.44,"North Central Region"
"East Granby",900322070,"2010-2014","Number","Deaths",4,"North Central Region"
"East Haddam",900722280,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"East Haddam",900722280,"2006-2010","Crude Rate (per 100,000)","Deaths",6.64,"Eastern Region"
"East Haddam",900722280,"2006-2010","Number","Deaths",3,"Eastern Region"
"East Haddam",900722280,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"East Haddam",900722280,"2007-2011","Crude Rate (per 100,000)","Deaths",6.62,"Eastern Region"
"East Haddam",900722280,"2007-2011","Number","Deaths",3,"Eastern Region"
"East Haddam",900722280,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"East Haddam",900722280,"2008-2012","Crude Rate (per 100,000)","Deaths",6.58,"Eastern Region"
"East Haddam",900722280,"2008-2012","Number","Deaths",3,"Eastern Region"
"East Haddam",900722280,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"East Haddam",900722280,"2010-2014","Crude Rate (per 100,000)","Deaths",10.94,"Eastern Region"
"East Haddam",900722280,"2010-2014","Number","Deaths",5,"Eastern Region"
"East Hampton",900722490,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"East Hampton",900722490,"2006-2010","Crude Rate (per 100,000)","Deaths",9.31,"Eastern Region"
"East Hampton",900722490,"2006-2010","Number","Deaths",6,"Eastern Region"
"East Hampton",900722490,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"East Hampton",900722490,"2007-2011","Crude Rate (per 100,000)","Deaths",9.28,"Eastern Region"
"East Hampton",900722490,"2007-2011","Number","Deaths",6,"Eastern Region"
"East Hampton",900722490,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"East Hampton",900722490,"2008-2012","Crude Rate (per 100,000)","Deaths",16.98,"Eastern Region"
"East Hampton",900722490,"2008-2012","Number","Deaths",11,"Eastern Region"
"East Hampton",900722490,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"East Hampton",900722490,"2010-2014","Crude Rate (per 100,000)","Deaths",17.01,"Eastern Region"
"East Hampton",900722490,"2010-2014","Number","Deaths",11,"Eastern Region"
"East Hartford",900322630,"2006-2010","AAMR (per 100,000)","Deaths",7.95,"North Central Region"
"East Hartford",900322630,"2006-2010","Crude Rate (per 100,000)","Deaths",8.63,"North Central Region"
"East Hartford",900322630,"2006-2010","Number","Deaths",22,"North Central Region"
"East Hartford",900322630,"2007-2011","AAMR (per 100,000)","Deaths",8.11,"North Central Region"
"East Hartford",900322630,"2007-2011","Crude Rate (per 100,000)","Deaths",9,"North Central Region"
"East Hartford",900322630,"2007-2011","Number","Deaths",23,"North Central Region"
"East Hartford",900322630,"2008-2012","AAMR (per 100,000)","Deaths",8.99,"North Central Region"
"East Hartford",900322630,"2008-2012","Crude Rate (per 100,000)","Deaths",9.36,"North Central Region"
"East Hartford",900322630,"2008-2012","Number","Deaths",24,"North Central Region"
"East Hartford",900322630,"2010-2014","AAMR (per 100,000)","Deaths",9.32,"North Central Region"
"East Hartford",900322630,"2010-2014","Crude Rate (per 100,000)","Deaths",9.37,"North Central Region"
"East Hartford",900322630,"2010-2014","Number","Deaths",24,"North Central Region"
"East Haven",900922910,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"East Haven",900922910,"2006-2010","Crude Rate (per 100,000)","Deaths",5.5,"South Central Region"
"East Haven",900922910,"2006-2010","Number","Deaths",8,"South Central Region"
"East Haven",900922910,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"East Haven",900922910,"2007-2011","Crude Rate (per 100,000)","Deaths",5.49,"South Central Region"
"East Haven",900922910,"2007-2011","Number","Deaths",8,"South Central Region"
"East Haven",900922910,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"East Haven",900922910,"2008-2012","Crude Rate (per 100,000)","Deaths",6.84,"South Central Region"
"East Haven",900922910,"2008-2012","Number","Deaths",10,"South Central Region"
"East Haven",900922910,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"East Haven",900922910,"2010-2014","Crude Rate (per 100,000)","Deaths",9.6,"South Central Region"
"East Haven",900922910,"2010-2014","Number","Deaths",14,"South Central Region"
"East Lyme",901123400,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"East Lyme",901123400,"2006-2010","Crude Rate (per 100,000)","Deaths",9.44,"Eastern Region"
"East Lyme",901123400,"2006-2010","Number","Deaths",9,"Eastern Region"
"East Lyme",901123400,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"East Lyme",901123400,"2007-2011","Crude Rate (per 100,000)","Deaths",11.53,"Eastern Region"
"East Lyme",901123400,"2007-2011","Number","Deaths",11,"Eastern Region"
"East Lyme",901123400,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"East Lyme",901123400,"2008-2012","Crude Rate (per 100,000)","Deaths",9.4,"Eastern Region"
"East Lyme",901123400,"2008-2012","Number","Deaths",9,"Eastern Region"
"East Lyme",901123400,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"East Lyme",901123400,"2010-2014","Crude Rate (per 100,000)","Deaths",13.65,"Eastern Region"
"East Lyme",901123400,"2010-2014","Number","Deaths",13,"Eastern Region"
"Easton",900123890,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Southwest Region"
"Easton",900123890,"2006-2010","Crude Rate (per 100,000)","Deaths",10.81,"Southwest Region"
"Easton",900123890,"2006-2010","Number","Deaths",4,"Southwest Region"
"Easton",900123890,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Southwest Region"
"Easton",900123890,"2007-2011","Crude Rate (per 100,000)","Deaths",13.42,"Southwest Region"
"Easton",900123890,"2007-2011","Number","Deaths",5,"Southwest Region"
"Easton",900123890,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Southwest Region"
"Easton",900123890,"2008-2012","Crude Rate (per 100,000)","Deaths",13.33,"Southwest Region"
"Easton",900123890,"2008-2012","Number","Deaths",5,"Southwest Region"
"Easton",900123890,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Southwest Region"
"Easton",900123890,"2010-2014","Crude Rate (per 100,000)","Deaths",15.83,"Southwest Region"
"Easton",900123890,"2010-2014","Number","Deaths",6,"Southwest Region"
"East Windsor",900324800,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"East Windsor",900324800,"2006-2010","Crude Rate (per 100,000)","Deaths",12.82,"North Central Region"
"East Windsor",900324800,"2006-2010","Number","Deaths",7,"North Central Region"
"East Windsor",900324800,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"East Windsor",900324800,"2007-2011","Crude Rate (per 100,000)","Deaths",9.07,"North Central Region"
"East Windsor",900324800,"2007-2011","Number","Deaths",5,"North Central Region"
"East Windsor",900324800,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"East Windsor",900324800,"2008-2012","Crude Rate (per 100,000)","Deaths",12.54,"North Central Region"
"East Windsor",900324800,"2008-2012","Number","Deaths",7,"North Central Region"
"East Windsor",900324800,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"East Windsor",900324800,"2010-2014","Crude Rate (per 100,000)","Deaths",12.38,"North Central Region"
"East Windsor",900324800,"2010-2014","Number","Deaths",7,"North Central Region"
"Ellington",901325360,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Ellington",901325360,"2006-2010","Crude Rate (per 100,000)","Deaths",7.88,"North Central Region"
"Ellington",901325360,"2006-2010","Number","Deaths",6,"North Central Region"
"Ellington",901325360,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Ellington",901325360,"2007-2011","Crude Rate (per 100,000)","Deaths",9.09,"North Central Region"
"Ellington",901325360,"2007-2011","Number","Deaths",7,"North Central Region"
"Ellington",901325360,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Ellington",901325360,"2008-2012","Crude Rate (per 100,000)","Deaths",11.53,"North Central Region"
"Ellington",901325360,"2008-2012","Number","Deaths",9,"North Central Region"
"Ellington",901325360,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Ellington",901325360,"2010-2014","Crude Rate (per 100,000)","Deaths",16.55,"North Central Region"
"Ellington",901325360,"2010-2014","Number","Deaths",13,"North Central Region"
"Enfield",900325990,"2006-2010","AAMR (per 100,000)","Deaths",13.98,"North Central Region"
"Enfield",900325990,"2006-2010","Crude Rate (per 100,000)","Deaths",13.84,"North Central Region"
"Enfield",900325990,"2006-2010","Number","Deaths",31,"North Central Region"
"Enfield",900325990,"2007-2011","AAMR (per 100,000)","Deaths",15.37,"North Central Region"
"Enfield",900325990,"2007-2011","Crude Rate (per 100,000)","Deaths",15.2,"North Central Region"
"Enfield",900325990,"2007-2011","Number","Deaths",34,"North Central Region"
"Enfield",900325990,"2008-2012","AAMR (per 100,000)","Deaths",14.94,"North Central Region"
"Enfield",900325990,"2008-2012","Crude Rate (per 100,000)","Deaths",15.67,"North Central Region"
"Enfield",900325990,"2008-2012","Number","Deaths",35,"North Central Region"
"Enfield",900325990,"2010-2014","AAMR (per 100,000)","Deaths",16.03,"North Central Region"
"Enfield",900325990,"2010-2014","Crude Rate (per 100,000)","Deaths",17.01,"North Central Region"
"Enfield",900325990,"2010-2014","Number","Deaths",38,"North Central Region"
"Essex",900726270,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Essex",900726270,"2006-2010","Crude Rate (per 100,000)","Deaths",14.96,"Eastern Region"
"Essex",900726270,"2006-2010","Number","Deaths",5,"Eastern Region"
"Essex",900726270,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Essex",900726270,"2007-2011","Crude Rate (per 100,000)","Deaths",20.9,"Eastern Region"
"Essex",900726270,"2007-2011","Number","Deaths",7,"Eastern Region"
"Essex",900726270,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Essex",900726270,"2008-2012","Crude Rate (per 100,000)","Deaths",20.95,"Eastern Region"
"Essex",900726270,"2008-2012","Number","Deaths",7,"Eastern Region"
"Essex",900726270,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Essex",900726270,"2010-2014","Crude Rate (per 100,000)","Deaths",18.03,"Eastern Region"
"Essex",900726270,"2010-2014","Number","Deaths",6,"Eastern Region"
"Fairfield",900126620,"2006-2010","AAMR (per 100,000)","Deaths",6.9,"Southwest Region"
"Fairfield",900126620,"2006-2010","Crude Rate (per 100,000)","Deaths",6.13,"Southwest Region"
"Fairfield",900126620,"2006-2010","Number","Deaths",18,"Southwest Region"
"Fairfield",900126620,"2007-2011","AAMR (per 100,000)","Deaths",7.21,"Southwest Region"
"Fairfield",900126620,"2007-2011","Crude Rate (per 100,000)","Deaths",6.77,"Southwest Region"
"Fairfield",900126620,"2007-2011","Number","Deaths",20,"Southwest Region"
"Fairfield",900126620,"2008-2012","AAMR (per 100,000)","Deaths",10.52,"Southwest Region"
"Fairfield",900126620,"2008-2012","Crude Rate (per 100,000)","Deaths",10.08,"Southwest Region"
"Fairfield",900126620,"2008-2012","Number","Deaths",30,"Southwest Region"
"Fairfield",900126620,"2010-2014","AAMR (per 100,000)","Deaths",7.86,"Southwest Region"
"Fairfield",900126620,"2010-2014","Crude Rate (per 100,000)","Deaths",7.94,"Southwest Region"
"Fairfield",900126620,"2010-2014","Number","Deaths",24,"Southwest Region"
"Farmington",900327600,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Farmington",900327600,"2006-2010","Crude Rate (per 100,000)","Deaths",5.59,"Central Region"
"Farmington",900327600,"2006-2010","Number","Deaths",7,"Central Region"
"Farmington",900327600,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Farmington",900327600,"2007-2011","Crude Rate (per 100,000)","Deaths",6.35,"Central Region"
"Farmington",900327600,"2007-2011","Number","Deaths",8,"Central Region"
"Farmington",900327600,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Farmington",900327600,"2008-2012","Crude Rate (per 100,000)","Deaths",7.89,"Central Region"
"Farmington",900327600,"2008-2012","Number","Deaths",10,"Central Region"
"Farmington",900327600,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Farmington",900327600,"2010-2014","Crude Rate (per 100,000)","Deaths",7.06,"Central Region"
"Farmington",900327600,"2010-2014","Number","Deaths",9,"Central Region"
"Franklin",901129910,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Franklin",901129910,"2006-2010","Crude Rate (per 100,000)","Deaths",20.79,"Eastern Region"
"Franklin",901129910,"2006-2010","Number","Deaths",2,"Eastern Region"
"Franklin",901129910,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Franklin",901129910,"2007-2011","Crude Rate (per 100,000)","Deaths",20.43,"Eastern Region"
