"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value","R#","Region"
"Bloomfield School District",900305910,"2017-2018","Indicator of Educational Need","Special Education","Number",351,4,"North Central"
"Bloomfield School District",900305910,"2017-2018","Indicator of Educational Need","Special Education","Percent",16.3,4,"North Central"
"Bloomfield School District",900305910,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",2149,4,"North Central"
"Bolton School District",901306260,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",91,4,"North Central"
"Bolton School District",901306260,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",10.1,4,"North Central"
"Bolton School District",901306260,"2011-2012","Indicator of Educational Need","English Language Learner","Number",-9999,4,"North Central"
"Bolton School District",901306260,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",-9999,4,"North Central"
"Bolton School District",901306260,"2011-2012","Indicator of Educational Need","Special Education","Number",95,4,"North Central"
"Bolton School District",901306260,"2011-2012","Indicator of Educational Need","Special Education","Percent",10.6,4,"North Central"
"Bolton School District",901306260,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",897,4,"North Central"
"Bolton School District",901306260,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",110,4,"North Central"
"Bolton School District",901306260,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",12.3,4,"North Central"
"Bolton School District",901306260,"2012-2013","Indicator of Educational Need","English Language Learner","Number",8,4,"North Central"
"Bolton School District",901306260,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",0.9,4,"North Central"
"Bolton School District",901306260,"2012-2013","Indicator of Educational Need","Special Education","Number",94,4,"North Central"
"Bolton School District",901306260,"2012-2013","Indicator of Educational Need","Special Education","Percent",10.5,4,"North Central"
"Bolton School District",901306260,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",897,4,"North Central"
"Bolton School District",901306260,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",118,4,"North Central"
"Bolton School District",901306260,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",13.6,4,"North Central"
"Bolton School District",901306260,"2013-2014","Indicator of Educational Need","English Language Learner","Number",7,4,"North Central"
"Bolton School District",901306260,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",0.8,4,"North Central"
"Bolton School District",901306260,"2013-2014","Indicator of Educational Need","Special Education","Number",89,4,"North Central"
"Bolton School District",901306260,"2013-2014","Indicator of Educational Need","Special Education","Percent",10.2,4,"North Central"
"Bolton School District",901306260,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",869,4,"North Central"
"Bolton School District",901306260,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",147,4,"North Central"
"Bolton School District",901306260,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",17.4,4,"North Central"
"Bolton School District",901306260,"2014-2015","Indicator of Educational Need","English Language Learner","Number",7,4,"North Central"
"Bolton School District",901306260,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",0.8,4,"North Central"
"Bolton School District",901306260,"2014-2015","Indicator of Educational Need","Special Education","Number",98,4,"North Central"
"Bolton School District",901306260,"2014-2015","Indicator of Educational Need","Special Education","Percent",11.6,4,"North Central"
"Bolton School District",901306260,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",847,4,"North Central"
"Bolton School District",901306260,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",125,4,"North Central"
"Bolton School District",901306260,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",15.2,4,"North Central"
"Bolton School District",901306260,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999,4,"North Central"
"Bolton School District",901306260,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999,4,"North Central"
"Bolton School District",901306260,"2015-2016","Indicator of Educational Need","Special Education","Number",96,4,"North Central"
"Bolton School District",901306260,"2015-2016","Indicator of Educational Need","Special Education","Percent",11.7,4,"North Central"
"Bolton School District",901306260,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",820,4,"North Central"
"Bolton School District",901306260,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",118,4,"North Central"
"Bolton School District",901306260,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",14.4,4,"North Central"
"Bolton School District",901306260,"2016-2017","Indicator of Educational Need","English Language Learner","Number",8,4,"North Central"
"Bolton School District",901306260,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",1,4,"North Central"
"Bolton School District",901306260,"2016-2017","Indicator of Educational Need","Special Education","Number",94,4,"North Central"
"Bolton School District",901306260,"2016-2017","Indicator of Educational Need","Special Education","Percent",11.5,4,"North Central"
"Bolton School District",901306260,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",820,4,"North Central"
"Bolton School District",901306260,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",121,4,"North Central"
"Bolton School District",901306260,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",14.9,4,"North Central"
"Bolton School District",901306260,"2017-2018","Indicator of Educational Need","English Language Learner","Number",6,4,"North Central"
"Bolton School District",901306260,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",0.7,4,"North Central"
"Bolton School District",901306260,"2017-2018","Indicator of Educational Need","Special Education","Number",98,4,"North Central"
"Bolton School District",901306260,"2017-2018","Indicator of Educational Need","Special Education","Percent",12.1,4,"North Central"
"Bolton School District",901306260,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",812,4,"North Central"
"Booker T Washington Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",78,2,"South Central"
"Booker T Washington Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",85.7,2,"South Central"
"Booker T Washington Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",0,2,"South Central"
"Booker T Washington Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",0,2,"South Central"
"Booker T Washington Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",91,2,"South Central"
"Booker T Washington Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",154,2,"South Central"
"Booker T Washington Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",85.6,2,"South Central"
"Booker T Washington Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",0,2,"South Central"
"Booker T Washington Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",0,2,"South Central"
"Booker T Washington Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",11,2,"South Central"
"Booker T Washington Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",6.1,2,"South Central"
"Booker T Washington Academy District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",180,2,"South Central"
"Booker T Washington Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",197,2,"South Central"
"Booker T Washington Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",81.7,2,"South Central"
"Booker T Washington Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",0,2,"South Central"
"Booker T Washington Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",0,2,"South Central"
"Booker T Washington Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",14,2,"South Central"
"Booker T Washington Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",5.8,2,"South Central"
"Booker T Washington Academy District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",241,2,"South Central"
"Booker T Washington Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",244,2,"South Central"
"Booker T Washington Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",81.3,2,"South Central"
"Booker T Washington Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",20,2,"South Central"
"Booker T Washington Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",6.7,2,"South Central"
"Booker T Washington Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",16,2,"South Central"
"Booker T Washington Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",5.3,2,"South Central"
"Booker T Washington Academy District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",300,2,"South Central"
"Bozrah School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",31,3,"Eastern"
"Bozrah School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",13.1,3,"Eastern"
"Bozrah School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",0,3,"Eastern"
"Bozrah School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",0,3,"Eastern"
"Bozrah School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",32,3,"Eastern"
"Bozrah School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",13.6,3,"Eastern"
"Bozrah School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",236,3,"Eastern"
"Bozrah School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",52,3,"Eastern"
"Bozrah School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",21.4,3,"Eastern"
"Bozrah School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",-9999,3,"Eastern"
"Bozrah School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",-9999,3,"Eastern"
"Bozrah School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",29,3,"Eastern"
"Bozrah School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",11.9,3,"Eastern"
"Bozrah School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",243,3,"Eastern"
"Bozrah School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",66,3,"Eastern"
"Bozrah School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",27,3,"Eastern"
"Bozrah School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",-9999,3,"Eastern"
"Bozrah School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",-9999,3,"Eastern"
"Bozrah School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",30,3,"Eastern"
"Bozrah School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",12.3,3,"Eastern"
"Bozrah School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",244,3,"Eastern"
"Bozrah School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",44,3,"Eastern"
"Bozrah School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20.9,3,"Eastern"
"Bozrah School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",-9999,3,"Eastern"
"Bozrah School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",-9999,3,"Eastern"
"Bozrah School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",26,3,"Eastern"
"Bozrah School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",12.3,3,"Eastern"
"Bozrah School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",211,3,"Eastern"
"Bozrah School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",46,3,"Eastern"
"Bozrah School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",22.8,3,"Eastern"
"Bozrah School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999,3,"Eastern"
"Bozrah School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999,3,"Eastern"
"Bozrah School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",25,3,"Eastern"
"Bozrah School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",12.4,3,"Eastern"
"Bozrah School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",202,3,"Eastern"
"Bozrah School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",49,3,"Eastern"
"Bozrah School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",23.6,3,"Eastern"
"Bozrah School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",-9999,3,"Eastern"
"Bozrah School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",-9999,3,"Eastern"
"Bozrah School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",22,3,"Eastern"
"Bozrah School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",10.6,3,"Eastern"
"Bozrah School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",208,3,"Eastern"
"Bozrah School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",56,3,"Eastern"
"Bozrah School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",27.5,3,"Eastern"
"Bozrah School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",-9999,3,"Eastern"
"Bozrah School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",-9999,3,"Eastern"
"Bozrah School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",23,3,"Eastern"
"Bozrah School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",11.3,3,"Eastern"
"Bozrah School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",204,3,"Eastern"
"Branford School District",900907310,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",590,2,"South Central"
"Branford School District",900907310,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",17.7,2,"South Central"
"Branford School District",900907310,"2011-2012","Indicator of Educational Need","English Language Learner","Number",107,2,"South Central"
"Branford School District",900907310,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",3.2,2,"South Central"
"Branford School District",900907310,"2011-2012","Indicator of Educational Need","Special Education","Number",455,2,"South Central"
"Branford School District",900907310,"2011-2012","Indicator of Educational Need","Special Education","Percent",13.6,2,"South Central"
"Branford School District",900907310,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",3341,2,"South Central"
"Branford School District",900907310,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",737,2,"South Central"
"Branford School District",900907310,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",22.5,2,"South Central"
"Branford School District",900907310,"2012-2013","Indicator of Educational Need","English Language Learner","Number",110,2,"South Central"
"Branford School District",900907310,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",3.4,2,"South Central"
"Branford School District",900907310,"2012-2013","Indicator of Educational Need","Special Education","Number",443,2,"South Central"
"Branford School District",900907310,"2012-2013","Indicator of Educational Need","Special Education","Percent",13.5,2,"South Central"
"Branford School District",900907310,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",3282,2,"South Central"
"Branford School District",900907310,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",759,2,"South Central"
"Branford School District",900907310,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",23.4,2,"South Central"
"Branford School District",900907310,"2013-2014","Indicator of Educational Need","English Language Learner","Number",103,2,"South Central"
"Branford School District",900907310,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",3.2,2,"South Central"
"Branford School District",900907310,"2013-2014","Indicator of Educational Need","Special Education","Number",412,2,"South Central"
"Branford School District",900907310,"2013-2014","Indicator of Educational Need","Special Education","Percent",12.7,2,"South Central"
"Branford School District",900907310,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",3245,2,"South Central"
"Branford School District",900907310,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",751,2,"South Central"
"Branford School District",900907310,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",24.2,2,"South Central"
"Branford School District",900907310,"2014-2015","Indicator of Educational Need","English Language Learner","Number",117,2,"South Central"
"Branford School District",900907310,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",3.8,2,"South Central"
"Branford School District",900907310,"2014-2015","Indicator of Educational Need","Special Education","Number",412,2,"South Central"
"Branford School District",900907310,"2014-2015","Indicator of Educational Need","Special Education","Percent",13.3,2,"South Central"
"Branford School District",900907310,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",3108,2,"South Central"
"Branford School District",900907310,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",788,2,"South Central"
"Branford School District",900907310,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",25.7,2,"South Central"
"Branford School District",900907310,"2015-2016","Indicator of Educational Need","English Language Learner","Number",114,2,"South Central"
"Branford School District",900907310,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",3.7,2,"South Central"
"Branford School District",900907310,"2015-2016","Indicator of Educational Need","Special Education","Number",422,2,"South Central"
"Branford School District",900907310,"2015-2016","Indicator of Educational Need","Special Education","Percent",13.8,2,"South Central"
"Branford School District",900907310,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",3066,2,"South Central"
"Branford School District",900907310,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",807,2,"South Central"
"Branford School District",900907310,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",27.1,2,"South Central"
"Branford School District",900907310,"2016-2017","Indicator of Educational Need","English Language Learner","Number",118,2,"South Central"
"Branford School District",900907310,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",4,2,"South Central"
"Branford School District",900907310,"2016-2017","Indicator of Educational Need","Special Education","Number",413,2,"South Central"
"Branford School District",900907310,"2016-2017","Indicator of Educational Need","Special Education","Percent",13.8,2,"South Central"
"Branford School District",900907310,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",2983,2,"South Central"
"Branford School District",900907310,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",803,2,"South Central"
"Branford School District",900907310,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",27.5,2,"South Central"
"Branford School District",900907310,"2017-2018","Indicator of Educational Need","English Language Learner","Number",119,2,"South Central"
"Branford School District",900907310,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",4.1,2,"South Central"
"Branford School District",900907310,"2017-2018","Indicator of Educational Need","Special Education","Number",405,2,"South Central"
"Branford School District",900907310,"2017-2018","Indicator of Educational Need","Special Education","Percent",13.9,2,"South Central"
"Branford School District",900907310,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",2918,2,"South Central"
"Brass City Charter School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999,5,"Western"
"Brass City Charter School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999,5,"Western"
"Brass City Charter School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",-9999,5,"Western"
"Brass City Charter School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",-9999,5,"Western"
"Brass City Charter School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",-9999,5,"Western"
"Brass City Charter School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",-9999,5,"Western"
"Brass City Charter School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",-9999,5,"Western"
"Brass City Charter School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999,5,"Western"
"Brass City Charter School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999,5,"Western"
"Brass City Charter School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",-9999,5,"Western"
"Brass City Charter School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",-9999,5,"Western"
"Brass City Charter School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",-9999,5,"Western"
"Brass City Charter School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",-9999,5,"Western"
"Brass City Charter School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",-9999,5,"Western"
"Brass City Charter School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",73,5,"Western"
"Brass City Charter School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",63.5,5,"Western"
"Brass City Charter School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",0,5,"Western"
"Brass City Charter School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",0,5,"Western"
"Brass City Charter School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",-9999,5,"Western"
"Brass City Charter School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",-9999,5,"Western"
"Brass City Charter School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",115,5,"Western"
"Brass City Charter School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",103,5,"Western"
"Brass City Charter School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",68.7,5,"Western"
"Brass City Charter School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",-9999,5,"Western"
"Brass City Charter School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",-9999,5,"Western"
"Brass City Charter School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",11,5,"Western"
"Brass City Charter School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",7.3,5,"Western"
"Brass City Charter School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",150,5,"Western"
"Brass City Charter School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",128,5,"Western"
"Brass City Charter School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",68.8,5,"Western"
"Brass City Charter School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",0,5,"Western"
"Brass City Charter School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",0,5,"Western"
"Brass City Charter School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",12,5,"Western"
"Brass City Charter School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",6.5,5,"Western"
"Brass City Charter School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",186,5,"Western"
"Brass City Charter School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",145,5,"Western"
"Brass City Charter School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",66.2,5,"Western"
"Brass City Charter School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",0,5,"Western"
"Brass City Charter School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",0,5,"Western"
"Brass City Charter School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",15,5,"Western"
"Brass City Charter School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",6.8,5,"Western"
"Brass City Charter School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",219,5,"Western"
"Brass City Charter School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",165,5,"Western"
"Brass City Charter School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",65,5,"Western"
"Brass City Charter School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",16,5,"Western"
"Brass City Charter School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",6.3,5,"Western"
"Brass City Charter School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",22,5,"Western"
"Brass City Charter School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",8.7,5,"Western"
"Brass City Charter School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",254,5,"Western"
"Bridgeport School District",900108070,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",20186,1,"Southwest"
"Bridgeport School District",900108070,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",99.1,1,"Southwest"
