"Town","FIPS","AGGREGATION","Year","Race","Type","Measure Type","Variable","Value","Region"
"Branford",900907310,"5-Year","2005-2009","All","Postneonatal","Rate","Fetal Mortality",0.84,"South Central Region"
"Branford",900907310,"5-Year","2009-2013","All","Infant","Rate","Fetal Mortality",0.88,"South Central Region"
"Branford",900907310,"5-Year","2001-2005","Hispanic or Latino","Fetal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2008-2012","All","Neonatal","Rate","Fetal Mortality",1.79,"South Central Region"
"Branford",900907310,"5-Year","2004-2008","All","Postneonatal","Rate","Fetal Mortality",0.82,"South Central Region"
"Branford",900907310,"5-Year","2010-2014","All","Postneonatal","Number","Fetal Mortality",1,"South Central Region"
"Branford",900907310,"5-Year","2009-2013","Hispanic or Latino","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2003-2007","White","Infant","Number","Fetal Mortality",5,"South Central Region"
"Branford",900907310,"5-Year","2001-2005","White","Fetal","Number","Fetal Mortality",6,"South Central Region"
"Branford",900907310,"5-Year","2001-2005","White","Infant","Number","Fetal Mortality",3,"South Central Region"
"Branford",900907310,"5-Year","2003-2007","Other","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2007-2011","White","Fetal","Number","Fetal Mortality",9,"South Central Region"
"Branford",900907310,"5-Year","1999-2003","Other","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2002-2006","White","Infant","Number","Fetal Mortality",2,"South Central Region"
"Branford",900907310,"5-Year","2005-2009","Other","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2001-2005","Black or African American","Fetal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2004-2008","Hispanic or Latino","Infant","Number","Fetal Mortality",1,"South Central Region"
"Branford",900907310,"5-Year","2000-2004","All","Postneonatal","Number","Fetal Mortality",2,"South Central Region"
"Branford",900907310,"5-Year","2007-2011","All","Postneonatal","Rate","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2007-2011","Black or African American","Fetal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2003-2007","All","Postneonatal","Rate","Fetal Mortality",0.8,"South Central Region"
"Branford",900907310,"5-Year","2003-2007","Black or African American","Fetal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2002-2006","Hispanic or Latino","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2009-2013","All","Postneonatal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2004-2008","All","Neonatal","Rate","Fetal Mortality",4.11,"South Central Region"
"Branford",900907310,"5-Year","2003-2007","White","Fetal","Number","Fetal Mortality",5,"South Central Region"
"Branford",900907310,"5-Year","2010-2014","Hispanic or Latino","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2007-2011","White","Infant","Number","Fetal Mortality",5,"South Central Region"
"Branford",900907310,"5-Year","1999-2003","White","Infant","Number","Fetal Mortality",5,"South Central Region"
"Branford",900907310,"5-Year","1999-2003","White","Fetal","Number","Fetal Mortality",7,"South Central Region"
"Branford",900907310,"5-Year","1999-2003","All","Fetal","Rate","Fetal Mortality",6.41,"South Central Region"
"Branford",900907310,"5-Year","1999-2003","All","Infant","Number","Fetal Mortality",5,"South Central Region"
"Branford",900907310,"5-Year","1999-2003","All","Neonatal","Number","Fetal Mortality",3,"South Central Region"
"Branford",900907310,"5-Year","2006-2010","White","Fetal","Number","Fetal Mortality",7,"South Central Region"
"Branford",900907310,"5-Year","2000-2004","White","Infant","Number","Fetal Mortality",2,"South Central Region"
"Branford",900907310,"5-Year","2000-2004","Other","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2004-2008","All","Neonatal","Number","Fetal Mortality",5,"South Central Region"
"Branford",900907310,"5-Year","2005-2009","White","Infant","Number","Fetal Mortality",6,"South Central Region"
"Branford",900907310,"5-Year","2000-2004","Black or African American","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2007-2011","Other","Fetal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2000-2004","White","Fetal","Number","Fetal Mortality",8,"South Central Region"
"Branford",900907310,"5-Year","2004-2008","Other","Fetal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2007-2011","Other","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","1999-2003","All","Fetal","Number","Fetal Mortality",9,"South Central Region"
"Branford",900907310,"5-Year","2010-2014","All","Postneonatal","Rate","Fetal Mortality",0.9,"South Central Region"
"Branford",900907310,"5-Year","2006-2010","Other","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2006-2010","All","Postneonatal","Rate","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2009-2013","Hispanic or Latino","Fetal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2009-2013","All","Postneonatal","Rate","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2002-2006","Black or African American","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2008-2012","Other","Fetal","Number","Fetal Mortality",1,"South Central Region"
"Branford",900907310,"5-Year","2005-2009","Other","Fetal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2008-2012","All","Postneonatal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2004-2008","Other","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2008-2012","White","Fetal","Number","Fetal Mortality",9,"South Central Region"
"Branford",900907310,"5-Year","2006-2010","Other","Fetal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2002-2006","Black or African American","Fetal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2001-2005","All","Neonatal","Rate","Fetal Mortality",0.78,"South Central Region"
"Branford",900907310,"5-Year","1999-2003","Hispanic or Latino","Fetal","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2006-2010","White","Infant","Number","Fetal Mortality",5,"South Central Region"
"Branford",900907310,"5-Year","2010-2014","White","Infant","Number","Fetal Mortality",2,"South Central Region"
"Branford",900907310,"5-Year","2004-2008","White","Fetal","Number","Fetal Mortality",5,"South Central Region"
"Branford",900907310,"5-Year","2009-2013","Other","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2009-2013","White","Fetal","Number","Fetal Mortality",9,"South Central Region"
"Branford",900907310,"5-Year","1999-2003","Hispanic or Latino","Infant","Number","Fetal Mortality",0,"South Central Region"
"Branford",900907310,"5-Year","2001-2005","Other","Infant","Number","Fetal Mortality",0,"South Central Region"
"Bridgeport",900108070,"5-Year","2001-2005","All","Postneonatal","Rate","Fetal Mortality",2.7,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","All","Infant","Number","Fetal Mortality",106,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","Other","Fetal","Number","Fetal Mortality",6,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","All","Fetal","Number","Fetal Mortality",94,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","Hispanic or Latino","Fetal","Number","Fetal Mortality",36,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","All","Infant","Rate","Fetal Mortality",7.89,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","Hispanic or Latino","Fetal","Number","Fetal Mortality",31,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","Black or African American","Infant","Number","Fetal Mortality",55,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","All","Neonatal","Rate","Fetal Mortality",6.14,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","All","Fetal","Rate","Fetal Mortality",8.11,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","Black or African American","Infant","Number","Fetal Mortality",54,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","Other","Fetal","Number","Fetal Mortality",4,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","All","Neonatal","Rate","Fetal Mortality",6.54,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","Black or African American","Infant","Number","Fetal Mortality",61,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","All","Postneonatal","Rate","Fetal Mortality",2.3,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","Hispanic or Latino","Infant","Number","Fetal Mortality",37,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","All","Neonatal","Number","Fetal Mortality",66,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","All","Infant","Number","Fetal Mortality",92,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","Black or African American","Infant","Number","Fetal Mortality",43,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","Black or African American","Fetal","Number","Fetal Mortality",47,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","All","Postneonatal","Rate","Fetal Mortality",2.48,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","Black or African American","Fetal","Number","Fetal Mortality",52,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","All","Fetal","Rate","Fetal Mortality",8.3,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","All","Fetal","Number","Fetal Mortality",85,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","Hispanic or Latino","Fetal","Number","Fetal Mortality",34,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","All","Neonatal","Rate","Fetal Mortality",6.48,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","All","Infant","Number","Fetal Mortality",76,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","All","Neonatal","Number","Fetal Mortality",57,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","Hispanic or Latino","Infant","Number","Fetal Mortality",41,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","All","Neonatal","Rate","Fetal Mortality",6.87,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","Black or African American","Infant","Number","Fetal Mortality",46,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","Other","Infant","Number","Fetal Mortality",2,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","Other","Infant","Number","Fetal Mortality",2,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","All","Postneonatal","Number","Fetal Mortality",27,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","All","Fetal","Number","Fetal Mortality",86,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","All","Fetal","Rate","Fetal Mortality",7.37,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","All","Neonatal","Number","Fetal Mortality",75,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","All","Neonatal","Number","Fetal Mortality",76,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","Black or African American","Fetal","Number","Fetal Mortality",51,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","Black or African American","Fetal","Number","Fetal Mortality",53,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","All","Infant","Rate","Fetal Mortality",9.24,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","Black or African American","Infant","Number","Fetal Mortality",50,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","Other","Infant","Number","Fetal Mortality",4,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","Other","Fetal","Number","Fetal Mortality",4,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","White","Fetal","Number","Fetal Mortality",43,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","White","Infant","Number","Fetal Mortality",43,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","All","Postneonatal","Rate","Fetal Mortality",2.12,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","All","Fetal","Number","Fetal Mortality",90,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","Black or African American","Fetal","Number","Fetal Mortality",41,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","All","Fetal","Rate","Fetal Mortality",8.37,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","All","Postneonatal","Rate","Fetal Mortality",2.78,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","Hispanic or Latino","Fetal","Number","Fetal Mortality",29,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","Hispanic or Latino","Infant","Number","Fetal Mortality",45,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","Black or African American","Fetal","Number","Fetal Mortality",47,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","Other","Fetal","Number","Fetal Mortality",1,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","All","Postneonatal","Rate","Fetal Mortality",1.73,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","White","Infant","Number","Fetal Mortality",40,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","All","Postneonatal","Rate","Fetal Mortality",2.2,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","White","Infant","Number","Fetal Mortality",42,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","White","Infant","Number","Fetal Mortality",32,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","All","Infant","Rate","Fetal Mortality",7.17,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","All","Neonatal","Number","Fetal Mortality",63,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","White","Fetal","Number","Fetal Mortality",34,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","All","Infant","Rate","Fetal Mortality",7.72,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","Hispanic or Latino","Fetal","Number","Fetal Mortality",42,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","Other","Fetal","Number","Fetal Mortality",3,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","All","Postneonatal","Number","Fetal Mortality",25,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","All","Infant","Number","Fetal Mortality",111,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","All","Infant","Rate","Fetal Mortality",9.65,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","All","Infant","Number","Fetal Mortality",103,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","All","Infant","Rate","Fetal Mortality",8.79,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","Hispanic or Latino","Infant","Number","Fetal Mortality",39,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","All","Fetal","Number","Fetal Mortality",95,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","White","Fetal","Number","Fetal Mortality",42,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","All","Neonatal","Rate","Fetal Mortality",5.51,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","Hispanic or Latino","Fetal","Number","Fetal Mortality",29,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","All","Neonatal","Rate","Fetal Mortality",7.91,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","Hispanic or Latino","Infant","Number","Fetal Mortality",36,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","All","Fetal","Rate","Fetal Mortality",9.56,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","All","Infant","Number","Fetal Mortality",125,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","All","Neonatal","Number","Fetal Mortality",91,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","White","Fetal","Number","Fetal Mortality",44,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","All","Postneonatal","Rate","Fetal Mortality",1.71,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","Black or African American","Infant","Number","Fetal Mortality",64,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","White","Infant","Number","Fetal Mortality",51,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","White","Fetal","Number","Fetal Mortality",44,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","Other","Infant","Number","Fetal Mortality",3,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","Hispanic or Latino","Fetal","Number","Fetal Mortality",41,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","Other","Infant","Number","Fetal Mortality",1,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","All","Fetal","Rate","Fetal Mortality",7.28,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","All","Infant","Number","Fetal Mortality",100,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","Hispanic or Latino","Fetal","Number","Fetal Mortality",30,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","All","Neonatal","Rate","Fetal Mortality",5.2,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","All","Infant","Rate","Fetal Mortality",6.93,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","All","Fetal","Rate","Fetal Mortality",7.61,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","All","Infant","Number","Fetal Mortality",102,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","Hispanic or Latino","Infant","Number","Fetal Mortality",40,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","White","Infant","Number","Fetal Mortality",30,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","All","Postneonatal","Number","Fetal Mortality",34,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","All","Postneonatal","Rate","Fetal Mortality",2.95,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","Black or African American","Fetal","Number","Fetal Mortality",46,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","Black or African American","Fetal","Number","Fetal Mortality",48,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","All","Fetal","Number","Fetal Mortality",89,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","Other","Infant","Number","Fetal Mortality",0,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","Other","Fetal","Number","Fetal Mortality",2,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","All","Infant","Rate","Fetal Mortality",8.89,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","Black or African American","Infant","Number","Fetal Mortality",54,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","All","Neonatal","Number","Fetal Mortality",79,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","All","Fetal","Number","Fetal Mortality",110,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","Hispanic or Latino","Infant","Number","Fetal Mortality",43,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","All","Postneonatal","Number","Fetal Mortality",31,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","Black or African American","Fetal","Number","Fetal Mortality",42,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","Black or African American","Fetal","Number","Fetal Mortality",39,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","All","Fetal","Number","Fetal Mortality",100,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","All","Postneonatal","Number","Fetal Mortality",29,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","Black or African American","Infant","Number","Fetal Mortality",53,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","Hispanic or Latino","Fetal","Number","Fetal Mortality",33,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","All","Fetal","Number","Fetal Mortality",86,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","Black or African American","Fetal","Number","Fetal Mortality",40,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","Black or African American","Infant","Number","Fetal Mortality",52,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","All","Postneonatal","Number","Fetal Mortality",26,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","All","Infant","Number","Fetal Mortality",82,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","All","Infant","Rate","Fetal Mortality",10.86,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","All","Neonatal","Number","Fetal Mortality",72,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","All","Fetal","Rate","Fetal Mortality",8.55,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","Other","Infant","Number","Fetal Mortality",1,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","All","Neonatal","Number","Fetal Mortality",75,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","Hispanic or Latino","Fetal","Number","Fetal Mortality",37,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","All","Infant","Rate","Fetal Mortality",8.62,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","All","Fetal","Number","Fetal Mortality",99,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","All","Infant","Rate","Fetal Mortality",8.46,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","All","Neonatal","Rate","Fetal Mortality",6.35,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","Hispanic or Latino","Infant","Number","Fetal Mortality",41,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","Black or African American","Infant","Number","Fetal Mortality",43,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","White","Infant","Number","Fetal Mortality",35,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","All","Neonatal","Number","Fetal Mortality",65,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","All","Postneonatal","Number","Fetal Mortality",17,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","All","Neonatal","Number","Fetal Mortality",76,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","All","Neonatal","Rate","Fetal Mortality",6.43,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","Other","Infant","Number","Fetal Mortality",0,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","All","Fetal","Rate","Fetal Mortality",7.78,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","All","Neonatal","Rate","Fetal Mortality",6.17,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","Other","Fetal","Number","Fetal Mortality",9,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","All","Infant","Number","Fetal Mortality",104,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","White","Fetal","Number","Fetal Mortality",41,"Southwest Region"
"Bridgeport",900108070,"5-Year","2002-2006","All","Neonatal","Rate","Fetal Mortality",6.41,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","All","Fetal","Number","Fetal Mortality",91,"Southwest Region"
"Bridgeport",900108070,"5-Year","2003-2007","White","Infant","Number","Fetal Mortality",42,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","Hispanic or Latino","Infant","Number","Fetal Mortality",36,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","All","Postneonatal","Number","Fetal Mortality",20,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","Hispanic or Latino","Infant","Number","Fetal Mortality",37,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","Other","Fetal","Number","Fetal Mortality",6,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","White","Fetal","Number","Fetal Mortality",40,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","All","Neonatal","Number","Fetal Mortality",75,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","All","Infant","Number","Fetal Mortality",82,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","Other","Fetal","Number","Fetal Mortality",2,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","Other","Infant","Number","Fetal Mortality",3,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","White","Fetal","Number","Fetal Mortality",50,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","Other","Fetal","Number","Fetal Mortality",4,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","Black or African American","Infant","Number","Fetal Mortality",40,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","All","Postneonatal","Number","Fetal Mortality",32,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","White","Fetal","Number","Fetal Mortality",39,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","All","Postneonatal","Number","Fetal Mortality",19,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","Black or African American","Fetal","Number","Fetal Mortality",48,"Southwest Region"
"Bridgeport",900108070,"5-Year","1999-2003","White","Fetal","Number","Fetal Mortality",53,"Southwest Region"
"Bridgeport",900108070,"5-Year","2006-2010","White","Infant","Number","Fetal Mortality",36,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","White","Fetal","Number","Fetal Mortality",38,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","All","Fetal","Rate","Fetal Mortality",8.63,"Southwest Region"
"Bridgeport",900108070,"5-Year","2005-2009","Other","Infant","Number","Fetal Mortality",1,"Southwest Region"
"Bridgeport",900108070,"5-Year","2008-2012","All","Postneonatal","Rate","Fetal Mortality",1.51,"Southwest Region"
"Bridgeport",900108070,"5-Year","2004-2008","White","Infant","Number","Fetal Mortality",42,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","All","Postneonatal","Number","Fetal Mortality",17,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","All","Fetal","Rate","Fetal Mortality",9.3,"Southwest Region"
"Bridgeport",900108070,"5-Year","2001-2005","White","Fetal","Number","Fetal Mortality",41,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","White","Infant","Number","Fetal Mortality",43,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","All","Fetal","Rate","Fetal Mortality",7.91,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","All","Infant","Number","Fetal Mortality",83,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","Other","Fetal","Number","Fetal Mortality",6,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","Hispanic or Latino","Fetal","Number","Fetal Mortality",33,"Southwest Region"
"Bridgeport",900108070,"5-Year","2007-2011","All","Postneonatal","Rate","Fetal Mortality",1.66,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","All","Postneonatal","Number","Fetal Mortality",19,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","Other","Infant","Number","Fetal Mortality",0,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","Other","Fetal","Number","Fetal Mortality",4,"Southwest Region"
"Bridgeport",900108070,"5-Year","2010-2014","All","Postneonatal","Rate","Fetal Mortality",1.58,"Southwest Region"
"Bridgeport",900108070,"5-Year","2009-2013","Other","Infant","Number","Fetal Mortality",0,"Southwest Region"
"Bridgeport",900108070,"5-Year","2000-2004","Hispanic or Latino","Infant","Number","Fetal Mortality",36,"Southwest Region"
