"Town","FIPS","Year","Measure Period","Indicator","Measure Type","Variable","Value","Region"
"Bristol",900308490,2013,"Calendar Year","Referrals","Number","Birth to Three Indicators",159,"Central Region"
"Bristol",900308490,2013,"Calendar Year","Evaluations","Number","Birth to Three Indicators",143,"Central Region"
"Bristol",900308490,2013,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",100,"Central Region"
"Bristol",900308490,2013,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",168,"Central Region"
"Bristol",900308490,2013,"Calendar Year","Total Served","Number","Birth to Three Indicators",160,"Central Region"
"Bristol",900308490,2013,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",37,"Central Region"
"Bristol",900308490,2014,"Calendar Year","Referrals","Number","Birth to Three Indicators",125,"Central Region"
"Bristol",900308490,2014,"Calendar Year","Evaluations","Number","Birth to Three Indicators",129,"Central Region"
"Bristol",900308490,2014,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",88,"Central Region"
"Bristol",900308490,2014,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",170,"Central Region"
"Bristol",900308490,2014,"Calendar Year","Total Served","Number","Birth to Three Indicators",164,"Central Region"
"Bristol",900308490,2014,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",51,"Central Region"
"Bristol",900308490,2015,"Calendar Year","Referrals","Number","Birth to Three Indicators",171,"Central Region"
"Bristol",900308490,2015,"Calendar Year","Evaluations","Number","Birth to Three Indicators",158,"Central Region"
"Bristol",900308490,2015,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",125,"Central Region"
"Bristol",900308490,2015,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",182,"Central Region"
"Bristol",900308490,2015,"Calendar Year","Total Served","Number","Birth to Three Indicators",171,"Central Region"
"Bristol",900308490,2015,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",46,"Central Region"
"Bristol",900308490,2016,"Calendar Year","Referrals","Number","Birth to Three Indicators",162,"Central Region"
"Bristol",900308490,2016,"Calendar Year","Evaluations","Number","Birth to Three Indicators",149,"Central Region"
"Bristol",900308490,2016,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",107,"Central Region"
"Bristol",900308490,2016,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",207,"Central Region"
"Bristol",900308490,2016,"Calendar Year","Total Served","Number","Birth to Three Indicators",134,"Central Region"
"Bristol",900308490,2016,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",48,"Central Region"
"Brookfield",900108980,2005,"Calendar Year","Referrals","Number","Birth to Three Indicators",31,"Western Region"
"Brookfield",900108980,2005,"Calendar Year","Evaluations","Number","Birth to Three Indicators",24,"Western Region"
"Brookfield",900108980,2005,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",19,"Western Region"
"Brookfield",900108980,2005,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",42,"Western Region"
"Brookfield",900108980,2005,"Calendar Year","Total Served","Number","Birth to Three Indicators",40,"Western Region"
"Brookfield",900108980,2005,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",13,"Western Region"
"Brookfield",900108980,2006,"Calendar Year","Referrals","Number","Birth to Three Indicators",33,"Western Region"
"Brookfield",900108980,2006,"Calendar Year","Evaluations","Number","Birth to Three Indicators",34,"Western Region"
"Brookfield",900108980,2006,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",27,"Western Region"
"Brookfield",900108980,2006,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",42,"Western Region"
"Brookfield",900108980,2006,"Calendar Year","Total Served","Number","Birth to Three Indicators",40,"Western Region"
"Brookfield",900108980,2006,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",10,"Western Region"
"Brookfield",900108980,2007,"Calendar Year","Referrals","Number","Birth to Three Indicators",34,"Western Region"
"Brookfield",900108980,2007,"Calendar Year","Evaluations","Number","Birth to Three Indicators",26,"Western Region"
"Brookfield",900108980,2007,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",18,"Western Region"
"Brookfield",900108980,2007,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",43,"Western Region"
"Brookfield",900108980,2007,"Calendar Year","Total Served","Number","Birth to Three Indicators",41,"Western Region"
"Brookfield",900108980,2007,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",9,"Western Region"
"Brookfield",900108980,2008,"Calendar Year","Referrals","Number","Birth to Three Indicators",52,"Western Region"
"Brookfield",900108980,2008,"Calendar Year","Evaluations","Number","Birth to Three Indicators",52,"Western Region"
"Brookfield",900108980,2008,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",35,"Western Region"
"Brookfield",900108980,2008,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",48,"Western Region"
"Brookfield",900108980,2008,"Calendar Year","Total Served","Number","Birth to Three Indicators",46,"Western Region"
"Brookfield",900108980,2008,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",13,"Western Region"
"Brookfield",900108980,2009,"Calendar Year","Referrals","Number","Birth to Three Indicators",34,"Western Region"
"Brookfield",900108980,2009,"Calendar Year","Evaluations","Number","Birth to Three Indicators",35,"Western Region"
"Brookfield",900108980,2009,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",25,"Western Region"
"Brookfield",900108980,2009,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",55,"Western Region"
"Brookfield",900108980,2009,"Calendar Year","Total Served","Number","Birth to Three Indicators",52,"Western Region"
"Brookfield",900108980,2009,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",7,"Western Region"
"Brookfield",900108980,2010,"Calendar Year","Referrals","Number","Birth to Three Indicators",22,"Western Region"
"Brookfield",900108980,2010,"Calendar Year","Evaluations","Number","Birth to Three Indicators",23,"Western Region"
"Brookfield",900108980,2010,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",15,"Western Region"
"Brookfield",900108980,2010,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",47,"Western Region"
"Brookfield",900108980,2010,"Calendar Year","Total Served","Number","Birth to Three Indicators",45,"Western Region"
"Brookfield",900108980,2010,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",14,"Western Region"
"Brookfield",900108980,2011,"Calendar Year","Referrals","Number","Birth to Three Indicators",32,"Western Region"
"Brookfield",900108980,2011,"Calendar Year","Evaluations","Number","Birth to Three Indicators",30,"Western Region"
"Brookfield",900108980,2011,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",22,"Western Region"
"Brookfield",900108980,2011,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",40,"Western Region"
"Brookfield",900108980,2011,"Calendar Year","Total Served","Number","Birth to Three Indicators",37,"Western Region"
"Brookfield",900108980,2011,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",8,"Western Region"
"Brookfield",900108980,2012,"Calendar Year","Referrals","Number","Birth to Three Indicators",37,"Western Region"
"Brookfield",900108980,2012,"Calendar Year","Evaluations","Number","Birth to Three Indicators",32,"Western Region"
"Brookfield",900108980,2012,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",24,"Western Region"
"Brookfield",900108980,2012,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",47,"Western Region"
"Brookfield",900108980,2012,"Calendar Year","Total Served","Number","Birth to Three Indicators",43,"Western Region"
"Brookfield",900108980,2012,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",7,"Western Region"
"Brookfield",900108980,2013,"Calendar Year","Referrals","Number","Birth to Three Indicators",22,"Western Region"
"Brookfield",900108980,2013,"Calendar Year","Evaluations","Number","Birth to Three Indicators",24,"Western Region"
"Brookfield",900108980,2013,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",16,"Western Region"
"Brookfield",900108980,2013,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",45,"Western Region"
"Brookfield",900108980,2013,"Calendar Year","Total Served","Number","Birth to Three Indicators",42,"Western Region"
"Brookfield",900108980,2013,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",16,"Western Region"
"Brookfield",900108980,2014,"Calendar Year","Referrals","Number","Birth to Three Indicators",33,"Western Region"
"Brookfield",900108980,2014,"Calendar Year","Evaluations","Number","Birth to Three Indicators",31,"Western Region"
"Brookfield",900108980,2014,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",21,"Western Region"
"Brookfield",900108980,2014,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",32,"Western Region"
"Brookfield",900108980,2014,"Calendar Year","Total Served","Number","Birth to Three Indicators",29,"Western Region"
"Brookfield",900108980,2014,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",9,"Western Region"
"Brookfield",900108980,2015,"Calendar Year","Referrals","Number","Birth to Three Indicators",29,"Western Region"
"Brookfield",900108980,2015,"Calendar Year","Evaluations","Number","Birth to Three Indicators",26,"Western Region"
"Brookfield",900108980,2015,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",15,"Western Region"
"Brookfield",900108980,2015,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",30,"Western Region"
"Brookfield",900108980,2015,"Calendar Year","Total Served","Number","Birth to Three Indicators",28,"Western Region"
"Brookfield",900108980,2015,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",8,"Western Region"
"Brookfield",900108980,2016,"Calendar Year","Referrals","Number","Birth to Three Indicators",36,"Western Region"
"Brookfield",900108980,2016,"Calendar Year","Evaluations","Number","Birth to Three Indicators",36,"Western Region"
"Brookfield",900108980,2016,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",25,"Western Region"
"Brookfield",900108980,2016,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",45,"Western Region"
"Brookfield",900108980,2016,"Calendar Year","Total Served","Number","Birth to Three Indicators",29,"Western Region"
"Brookfield",900108980,2016,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",10,"Western Region"
"Brooklyn",901509190,2005,"Calendar Year","Referrals","Number","Birth to Three Indicators",14,"Eastern Region"
"Brooklyn",901509190,2005,"Calendar Year","Evaluations","Number","Birth to Three Indicators",17,"Eastern Region"
"Brooklyn",901509190,2005,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",7,"Eastern Region"
"Brooklyn",901509190,2005,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",23,"Eastern Region"
"Brooklyn",901509190,2005,"Calendar Year","Total Served","Number","Birth to Three Indicators",22,"Eastern Region"
"Brooklyn",901509190,2005,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",7,"Eastern Region"
"Brooklyn",901509190,2006,"Calendar Year","Referrals","Number","Birth to Three Indicators",13,"Eastern Region"
"Brooklyn",901509190,2006,"Calendar Year","Evaluations","Number","Birth to Three Indicators",13,"Eastern Region"
"Brooklyn",901509190,2006,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",9,"Eastern Region"
"Brooklyn",901509190,2006,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",18,"Eastern Region"
"Brooklyn",901509190,2006,"Calendar Year","Total Served","Number","Birth to Three Indicators",13,"Eastern Region"
"Brooklyn",901509190,2006,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",7,"Eastern Region"
"Brooklyn",901509190,2007,"Calendar Year","Referrals","Number","Birth to Three Indicators",17,"Eastern Region"
"Brooklyn",901509190,2007,"Calendar Year","Evaluations","Number","Birth to Three Indicators",10,"Eastern Region"
"Brooklyn",901509190,2007,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",8,"Eastern Region"
"Brooklyn",901509190,2007,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",16,"Eastern Region"
"Brooklyn",901509190,2007,"Calendar Year","Total Served","Number","Birth to Three Indicators",11,"Eastern Region"
"Brooklyn",901509190,2007,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"Eastern Region"
"Brooklyn",901509190,2008,"Calendar Year","Referrals","Number","Birth to Three Indicators",14,"Eastern Region"
"Brooklyn",901509190,2008,"Calendar Year","Evaluations","Number","Birth to Three Indicators",16,"Eastern Region"
"Brooklyn",901509190,2008,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",9,"Eastern Region"
"Brooklyn",901509190,2008,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",19,"Eastern Region"
"Brooklyn",901509190,2008,"Calendar Year","Total Served","Number","Birth to Three Indicators",14,"Eastern Region"
"Brooklyn",901509190,2008,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",7,"Eastern Region"
"Brooklyn",901509190,2009,"Calendar Year","Referrals","Number","Birth to Three Indicators",16,"Eastern Region"
"Brooklyn",901509190,2009,"Calendar Year","Evaluations","Number","Birth to Three Indicators",16,"Eastern Region"
"Brooklyn",901509190,2009,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",11,"Eastern Region"
"Brooklyn",901509190,2009,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",17,"Eastern Region"
"Brooklyn",901509190,2009,"Calendar Year","Total Served","Number","Birth to Three Indicators",15,"Eastern Region"
"Brooklyn",901509190,2009,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",2,"Eastern Region"
"Brooklyn",901509190,2010,"Calendar Year","Referrals","Number","Birth to Three Indicators",21,"Eastern Region"
"Brooklyn",901509190,2010,"Calendar Year","Evaluations","Number","Birth to Three Indicators",20,"Eastern Region"
"Brooklyn",901509190,2010,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",18,"Eastern Region"
"Brooklyn",901509190,2010,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",30,"Eastern Region"
"Brooklyn",901509190,2010,"Calendar Year","Total Served","Number","Birth to Three Indicators",29,"Eastern Region"
"Brooklyn",901509190,2010,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",7,"Eastern Region"
"Brooklyn",901509190,2011,"Calendar Year","Referrals","Number","Birth to Three Indicators",23,"Eastern Region"
"Brooklyn",901509190,2011,"Calendar Year","Evaluations","Number","Birth to Three Indicators",15,"Eastern Region"
"Brooklyn",901509190,2011,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",13,"Eastern Region"
"Brooklyn",901509190,2011,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",27,"Eastern Region"
"Brooklyn",901509190,2011,"Calendar Year","Total Served","Number","Birth to Three Indicators",26,"Eastern Region"
"Brooklyn",901509190,2011,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",14,"Eastern Region"
"Brooklyn",901509190,2012,"Calendar Year","Referrals","Number","Birth to Three Indicators",14,"Eastern Region"
"Brooklyn",901509190,2012,"Calendar Year","Evaluations","Number","Birth to Three Indicators",13,"Eastern Region"
"Brooklyn",901509190,2012,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",8,"Eastern Region"
"Brooklyn",901509190,2012,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",18,"Eastern Region"
"Brooklyn",901509190,2012,"Calendar Year","Total Served","Number","Birth to Three Indicators",16,"Eastern Region"
"Brooklyn",901509190,2012,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",7,"Eastern Region"
"Brooklyn",901509190,2013,"Calendar Year","Referrals","Number","Birth to Three Indicators",20,"Eastern Region"
"Brooklyn",901509190,2013,"Calendar Year","Evaluations","Number","Birth to Three Indicators",19,"Eastern Region"
"Brooklyn",901509190,2013,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",11,"Eastern Region"
"Brooklyn",901509190,2013,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",18,"Eastern Region"
"Brooklyn",901509190,2013,"Calendar Year","Total Served","Number","Birth to Three Indicators",16,"Eastern Region"
"Brooklyn",901509190,2013,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",5,"Eastern Region"
"Brooklyn",901509190,2014,"Calendar Year","Referrals","Number","Birth to Three Indicators",18,"Eastern Region"
"Brooklyn",901509190,2014,"Calendar Year","Evaluations","Number","Birth to Three Indicators",16,"Eastern Region"
"Brooklyn",901509190,2014,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",12,"Eastern Region"
"Brooklyn",901509190,2014,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",24,"Eastern Region"
"Brooklyn",901509190,2014,"Calendar Year","Total Served","Number","Birth to Three Indicators",23,"Eastern Region"
"Brooklyn",901509190,2014,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",6,"Eastern Region"
"Brooklyn",901509190,2015,"Calendar Year","Referrals","Number","Birth to Three Indicators",19,"Eastern Region"
"Brooklyn",901509190,2015,"Calendar Year","Evaluations","Number","Birth to Three Indicators",16,"Eastern Region"
"Brooklyn",901509190,2015,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",13,"Eastern Region"
"Brooklyn",901509190,2015,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",24,"Eastern Region"
"Brooklyn",901509190,2015,"Calendar Year","Total Served","Number","Birth to Three Indicators",24,"Eastern Region"
"Brooklyn",901509190,2015,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",7,"Eastern Region"
"Brooklyn",901509190,2016,"Calendar Year","Referrals","Number","Birth to Three Indicators",13,"Eastern Region"
"Brooklyn",901509190,2016,"Calendar Year","Evaluations","Number","Birth to Three Indicators",12,"Eastern Region"
"Brooklyn",901509190,2016,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",12,"Eastern Region"
"Brooklyn",901509190,2016,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",25,"Eastern Region"
"Brooklyn",901509190,2016,"Calendar Year","Total Served","Number","Birth to Three Indicators",16,"Eastern Region"
"Brooklyn",901509190,2016,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",7,"Eastern Region"
"Burlington",900310100,2005,"Calendar Year","Referrals","Number","Birth to Three Indicators",25,"Central Region"
"Burlington",900310100,2005,"Calendar Year","Evaluations","Number","Birth to Three Indicators",21,"Central Region"
"Burlington",900310100,2005,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",14,"Central Region"
"Burlington",900310100,2005,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",21,"Central Region"
"Burlington",900310100,2005,"Calendar Year","Total Served","Number","Birth to Three Indicators",19,"Central Region"
"Burlington",900310100,2005,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"Central Region"
"Burlington",900310100,2006,"Calendar Year","Referrals","Number","Birth to Three Indicators",16,"Central Region"
"Burlington",900310100,2006,"Calendar Year","Evaluations","Number","Birth to Three Indicators",16,"Central Region"
"Burlington",900310100,2006,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",12,"Central Region"
"Burlington",900310100,2006,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",25,"Central Region"
"Burlington",900310100,2006,"Calendar Year","Total Served","Number","Birth to Three Indicators",25,"Central Region"
"Burlington",900310100,2006,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",7,"Central Region"
"Burlington",900310100,2007,"Calendar Year","Referrals","Number","Birth to Three Indicators",22,"Central Region"
"Burlington",900310100,2007,"Calendar Year","Evaluations","Number","Birth to Three Indicators",19,"Central Region"
"Burlington",900310100,2007,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",13,"Central Region"
"Burlington",900310100,2007,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",24,"Central Region"
"Burlington",900310100,2007,"Calendar Year","Total Served","Number","Birth to Three Indicators",24,"Central Region"
"Burlington",900310100,2007,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",5,"Central Region"
"Burlington",900310100,2008,"Calendar Year","Referrals","Number","Birth to Three Indicators",23,"Central Region"
"Burlington",900310100,2008,"Calendar Year","Evaluations","Number","Birth to Three Indicators",23,"Central Region"
"Burlington",900310100,2008,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",16,"Central Region"
"Burlington",900310100,2008,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",26,"Central Region"
"Burlington",900310100,2008,"Calendar Year","Total Served","Number","Birth to Three Indicators",25,"Central Region"
"Burlington",900310100,2008,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",6,"Central Region"
"Burlington",900310100,2009,"Calendar Year","Referrals","Number","Birth to Three Indicators",21,"Central Region"
"Burlington",900310100,2009,"Calendar Year","Evaluations","Number","Birth to Three Indicators",21,"Central Region"
"Burlington",900310100,2009,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",14,"Central Region"
"Burlington",900310100,2009,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",28,"Central Region"
"Burlington",900310100,2009,"Calendar Year","Total Served","Number","Birth to Three Indicators",28,"Central Region"
"Burlington",900310100,2009,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",10,"Central Region"
"Burlington",900310100,2010,"Calendar Year","Referrals","Number","Birth to Three Indicators",15,"Central Region"
"Burlington",900310100,2010,"Calendar Year","Evaluations","Number","Birth to Three Indicators",13,"Central Region"
"Burlington",900310100,2010,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",8,"Central Region"
"Burlington",900310100,2010,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",19,"Central Region"
"Burlington",900310100,2010,"Calendar Year","Total Served","Number","Birth to Three Indicators",19,"Central Region"
"Burlington",900310100,2010,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",5,"Central Region"
"Burlington",900310100,2011,"Calendar Year","Referrals","Number","Birth to Three Indicators",9,"Central Region"
"Burlington",900310100,2011,"Calendar Year","Evaluations","Number","Birth to Three Indicators",10,"Central Region"
"Burlington",900310100,2011,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",8,"Central Region"
"Burlington",900310100,2011,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",15,"Central Region"
"Burlington",900310100,2011,"Calendar Year","Total Served","Number","Birth to Three Indicators",15,"Central Region"
"Burlington",900310100,2011,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",5,"Central Region"
"Burlington",900310100,2012,"Calendar Year","Referrals","Number","Birth to Three Indicators",7,"Central Region"
"Burlington",900310100,2012,"Calendar Year","Evaluations","Number","Birth to Three Indicators",5,"Central Region"
"Burlington",900310100,2012,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",4,"Central Region"
"Burlington",900310100,2012,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",12,"Central Region"
"Burlington",900310100,2012,"Calendar Year","Total Served","Number","Birth to Three Indicators",12,"Central Region"
"Burlington",900310100,2012,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"Central Region"
"Burlington",900310100,2013,"Calendar Year","Referrals","Number","Birth to Three Indicators",7,"Central Region"
"Burlington",900310100,2013,"Calendar Year","Evaluations","Number","Birth to Three Indicators",5,"Central Region"
"Burlington",900310100,2013,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",2,"Central Region"
"Burlington",900310100,2013,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",6,"Central Region"
"Burlington",900310100,2013,"Calendar Year","Total Served","Number","Birth to Three Indicators",5,"Central Region"
"Burlington",900310100,2013,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"Central Region"
"Burlington",900310100,2014,"Calendar Year","Referrals","Number","Birth to Three Indicators",16,"Central Region"
"Burlington",900310100,2014,"Calendar Year","Evaluations","Number","Birth to Three Indicators",18,"Central Region"
"Burlington",900310100,2014,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",11,"Central Region"
"Burlington",900310100,2014,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",12,"Central Region"
"Burlington",900310100,2014,"Calendar Year","Total Served","Number","Birth to Three Indicators",10,"Central Region"
"Burlington",900310100,2014,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",4,"Central Region"
"Burlington",900310100,2015,"Calendar Year","Referrals","Number","Birth to Three Indicators",16,"Central Region"
"Burlington",900310100,2015,"Calendar Year","Evaluations","Number","Birth to Three Indicators",13,"Central Region"
"Burlington",900310100,2015,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",10,"Central Region"
"Burlington",900310100,2015,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",13,"Central Region"
"Burlington",900310100,2015,"Calendar Year","Total Served","Number","Birth to Three Indicators",12,"Central Region"
"Burlington",900310100,2015,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",2,"Central Region"
"Burlington",900310100,2016,"Calendar Year","Referrals","Number","Birth to Three Indicators",15,"Central Region"
"Burlington",900310100,2016,"Calendar Year","Evaluations","Number","Birth to Three Indicators",14,"Central Region"
"Burlington",900310100,2016,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",12,"Central Region"
"Burlington",900310100,2016,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",16,"Central Region"
"Burlington",900310100,2016,"Calendar Year","Total Served","Number","Birth to Three Indicators",9,"Central Region"
"Burlington",900310100,2016,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",4,"Central Region"
"Canaan",900510940,2005,"Calendar Year","Referrals","Number","Birth to Three Indicators",8,"Western Region"
"Canaan",900510940,2005,"Calendar Year","Evaluations","Number","Birth to Three Indicators",9,"Western Region"
"Canaan",900510940,2005,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",9,"Western Region"
"Canaan",900510940,2005,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",11,"Western Region"
"Canaan",900510940,2005,"Calendar Year","Total Served","Number","Birth to Three Indicators",11,"Western Region"
"Canaan",900510940,2005,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"Western Region"
"Canaan",900510940,2006,"Calendar Year","Referrals","Number","Birth to Three Indicators",4,"Western Region"
"Canaan",900510940,2006,"Calendar Year","Evaluations","Number","Birth to Three Indicators",4,"Western Region"
"Canaan",900510940,2006,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",0,"Western Region"
"Canaan",900510940,2006,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",5,"Western Region"
"Canaan",900510940,2006,"Calendar Year","Total Served","Number","Birth to Three Indicators",5,"Western Region"
"Canaan",900510940,2006,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",2,"Western Region"
"Canaan",900510940,2007,"Calendar Year","Referrals","Number","Birth to Three Indicators",1,"Western Region"
"Canaan",900510940,2007,"Calendar Year","Evaluations","Number","Birth to Three Indicators",1,"Western Region"
"Canaan",900510940,2007,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",0,"Western Region"
"Canaan",900510940,2007,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",0,"Western Region"
"Canaan",900510940,2007,"Calendar Year","Total Served","Number","Birth to Three Indicators",0,"Western Region"
"Canaan",900510940,2007,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",0,"Western Region"
"Canaan",900510940,2008,"Calendar Year","Referrals","Number","Birth to Three Indicators",6,"Western Region"
"Canaan",900510940,2008,"Calendar Year","Evaluations","Number","Birth to Three Indicators",5,"Western Region"
