"Region","Location of Placement","Type of Placement","Race/Ethnicity","Value"
"Southwest Region","Out of State","Total","Hispanic",7
"Southwest Region","Out of State","Total","Other",0
"Southwest Region","Out of State","Total","White",2
"Statewide","In State","Connecticut Juvenile Training School","Black",32
"Statewide","In State","Connecticut Juvenile Training School","Hispanic",26
"Statewide","In State","Connecticut Juvenile Training School","Other",3
"Statewide","In State","Connecticut Juvenile Training School","White",14
"Statewide","In State","Foster Care","Black",222
"Statewide","In State","Foster Care","Hispanic",369
"Statewide","In State","Foster Care","Other",91
"Statewide","In State","Foster Care","White",394
"Statewide","In State","Group Home","Black",104
"Statewide","In State","Group Home","Hispanic",119
"Statewide","In State","Group Home","Other",17
"Statewide","In State","Group Home","White",133
"Statewide","In State","High Meadows","Black",0
"Statewide","In State","High Meadows","Hispanic",0
"Statewide","In State","High Meadows","Other",0
"Statewide","In State","High Meadows","White",0
"Statewide","In State","Independent Living","Black",50
"Statewide","In State","Independent Living","Hispanic",49
"Statewide","In State","Independent Living","Other",10
"Statewide","In State","Independent Living","White",45
"Statewide","In State","Medical or Psychiatric Hospital Placement","Black",7
"Statewide","In State","Medical or Psychiatric Hospital Placement","Hispanic",9
"Statewide","In State","Medical or Psychiatric Hospital Placement","Other",2
"Statewide","In State","Medical or Psychiatric Hospital Placement","White",2
"Statewide","In State","PDC or Safe Home","Black",9
"Statewide","In State","PDC or Safe Home","Hispanic",14
"Statewide","In State","PDC or Safe Home","Other",2
"Statewide","In State","PDC or Safe Home","White",12
"Statewide","In State","Relative Foster Care","Black",223
"Statewide","In State","Relative Foster Care","Hispanic",286
"Statewide","In State","Relative Foster Care","Other",58
"Statewide","In State","Relative Foster Care","White",295
"Statewide","In State","Residential Treatment Center","Black",46
"Statewide","In State","Residential Treatment Center","Hispanic",44
"Statewide","In State","Residential Treatment Center","Other",6
"Statewide","In State","Residential Treatment Center","White",75
"Statewide","In State","Shelter","Black",26
"Statewide","In State","Shelter","Hispanic",27
"Statewide","In State","Shelter","Other",4
"Statewide","In State","Shelter","White",25
"Statewide","In State","Solnit Center","Black",12
"Statewide","In State","Solnit Center","Hispanic",14
"Statewide","In State","Solnit Center","Other",3
"Statewide","In State","Solnit Center","White",11
"Statewide","In State","Special Study","Black",57
"Statewide","In State","Special Study","Hispanic",67
"Statewide","In State","Special Study","Other",14
"Statewide","In State","Special Study","White",77
"Statewide","In State","Therapeutic Foster Care","Black",202
"Statewide","In State","Therapeutic Foster Care","Hispanic",226
"Statewide","In State","Therapeutic Foster Care","Other",51
"Statewide","In State","Therapeutic Foster Care","White",200
"Statewide","In State","Total","Black",990
"Statewide","In State","Total","Hispanic",1250
"Statewide","In State","Total","Other",261
"Statewide","In State","Total","White",1283
"Statewide","Out of State","Connecticut Juvenile Training School","Black",0
"Statewide","Out of State","Connecticut Juvenile Training School","Hispanic",0
"Statewide","Out of State","Connecticut Juvenile Training School","Other",0
"Statewide","Out of State","Connecticut Juvenile Training School","White",0
"Statewide","Out of State","Foster Care","Black",6
"Statewide","Out of State","Foster Care","Hispanic",6
"Statewide","Out of State","Foster Care","Other",1
"Statewide","Out of State","Foster Care","White",10
"Statewide","Out of State","Group Home","Black",0
"Statewide","Out of State","Group Home","Hispanic",0
"Statewide","Out of State","Group Home","Other",0
"Statewide","Out of State","Group Home","White",0
"Statewide","Out of State","High Meadows","Black",0
"Statewide","Out of State","High Meadows","Hispanic",0
"Statewide","Out of State","High Meadows","Other",0
"Statewide","Out of State","High Meadows","White",0
"Statewide","Out of State","Independent Living","Black",0
"Statewide","Out of State","Independent Living","Hispanic",0
"Statewide","Out of State","Independent Living","Other",0
"Statewide","Out of State","Independent Living","White",0
"Statewide","Out of State","Medical or Psychiatric Hospital Placement","Black",0
"Statewide","Out of State","Medical or Psychiatric Hospital Placement","Hispanic",0
"Statewide","Out of State","Medical or Psychiatric Hospital Placement","Other",1
"Statewide","Out of State","Medical or Psychiatric Hospital Placement","White",0
"Statewide","Out of State","PDC or Safe Home","Black",0
"Statewide","Out of State","PDC or Safe Home","Hispanic",0
"Statewide","Out of State","PDC or Safe Home","Other",0
"Statewide","Out of State","PDC or Safe Home","White",0
"Statewide","Out of State","Relative Foster Care","Black",16
"Statewide","Out of State","Relative Foster Care","Hispanic",18
"Statewide","Out of State","Relative Foster Care","Other",5
"Statewide","Out of State","Relative Foster Care","White",25
"Statewide","Out of State","Residential Treatment Center","Black",13
"Statewide","Out of State","Residential Treatment Center","Hispanic",6
"Statewide","Out of State","Residential Treatment Center","Other",5
"Statewide","Out of State","Residential Treatment Center","White",17
"Statewide","Out of State","Shelter","Black",0
"Statewide","Out of State","Shelter","Hispanic",0
"Statewide","Out of State","Shelter","Other",0
"Statewide","Out of State","Shelter","White",0
"Statewide","Out of State","Solnit Center","Black",0
"Statewide","Out of State","Solnit Center","Hispanic",0
"Statewide","Out of State","Solnit Center","Other",0
"Statewide","Out of State","Solnit Center","White",0
"Statewide","Out of State","Special Study","Black",0
"Statewide","Out of State","Special Study","Hispanic",0
"Statewide","Out of State","Special Study","Other",0
"Statewide","Out of State","Special Study","White",0
"Statewide","Out of State","Therapeutic Foster Care","Black",3
"Statewide","Out of State","Therapeutic Foster Care","Hispanic",2
"Statewide","Out of State","Therapeutic Foster Care","Other",0
"Statewide","Out of State","Therapeutic Foster Care","White",2
"Statewide","Out of State","Total","Black",38
"Statewide","Out of State","Total","Hispanic",32
"Statewide","Out of State","Total","Other",12
"Statewide","Out of State","Total","White",54
"Western Region","In State","Connecticut Juvenile Training School","Black",3
"Western Region","In State","Connecticut Juvenile Training School","Hispanic",8
"Western Region","In State","Connecticut Juvenile Training School","Other",1
"Western Region","In State","Connecticut Juvenile Training School","White",3
"Western Region","In State","Foster Care","Black",22
"Western Region","In State","Foster Care","Hispanic",78
"Western Region","In State","Foster Care","Other",33
"Western Region","In State","Foster Care","White",97
"Western Region","In State","Group Home","Black",14
"Western Region","In State","Group Home","Hispanic",27
"Western Region","In State","Group Home","Other",1
"Western Region","In State","Group Home","White",26
"Western Region","In State","High Meadows","Black",0
"Western Region","In State","High Meadows","Hispanic",0
"Western Region","In State","High Meadows","Other",0
"Western Region","In State","High Meadows","White",0
"Western Region","In State","Independent Living","Black",1
"Western Region","In State","Independent Living","Hispanic",4
"Western Region","In State","Independent Living","Other",3
"Western Region","In State","Independent Living","White",5
"Western Region","In State","Medical or Psychiatric Hospital Placement","Black",1
"Western Region","In State","Medical or Psychiatric Hospital Placement","Hispanic",2
"Western Region","In State","Medical or Psychiatric Hospital Placement","Other",0
"Western Region","In State","Medical or Psychiatric Hospital Placement","White",1
"Western Region","In State","PDC or Safe Home","Black",1
"Western Region","In State","PDC or Safe Home","Hispanic",3
"Western Region","In State","PDC or Safe Home","Other",0
"Western Region","In State","PDC or Safe Home","White",4
"Western Region","In State","Relative Foster Care","Black",20
"Western Region","In State","Relative Foster Care","Hispanic",54
"Western Region","In State","Relative Foster Care","Other",8
"Western Region","In State","Relative Foster Care","White",62
"Western Region","In State","Residential Treatment Center","Black",3
"Western Region","In State","Residential Treatment Center","Hispanic",3
"Western Region","In State","Residential Treatment Center","Other",2
"Western Region","In State","Residential Treatment Center","White",16
"Western Region","In State","Shelter","Black",0
"Western Region","In State","Shelter","Hispanic",2
"Western Region","In State","Shelter","Other",3
"Western Region","In State","Shelter","White",4
"Western Region","In State","Solnit Center","Black",1
"Western Region","In State","Solnit Center","Hispanic",2
"Western Region","In State","Solnit Center","Other",0
"Western Region","In State","Solnit Center","White",4
"Western Region","In State","Special Study","Black",9
"Western Region","In State","Special Study","Hispanic",9
"Western Region","In State","Special Study","Other",3
"Western Region","In State","Special Study","White",18
"Western Region","In State","Therapeutic Foster Care","Black",14
"Western Region","In State","Therapeutic Foster Care","Hispanic",29
"Western Region","In State","Therapeutic Foster Care","Other",12
"Western Region","In State","Therapeutic Foster Care","White",48
"Western Region","In State","Total","Black",89
"Western Region","In State","Total","Hispanic",221
"Western Region","In State","Total","Other",66
"Western Region","In State","Total","White",288
"Western Region","Out of State","Connecticut Juvenile Training School","Black",0
"Western Region","Out of State","Connecticut Juvenile Training School","Hispanic",0
"Western Region","Out of State","Connecticut Juvenile Training School","Other",0
"Western Region","Out of State","Connecticut Juvenile Training School","White",0
"Western Region","Out of State","Foster Care","Black",0
"Western Region","Out of State","Foster Care","Hispanic",1
"Western Region","Out of State","Foster Care","Other",0
"Western Region","Out of State","Foster Care","White",1
"Western Region","Out of State","Group Home","Black",0
"Western Region","Out of State","Group Home","Hispanic",0
"Western Region","Out of State","Group Home","Other",0
"Western Region","Out of State","Group Home","White",0
"Western Region","Out of State","High Meadows","Black",0
"Western Region","Out of State","High Meadows","Hispanic",0
"Western Region","Out of State","High Meadows","Other",0
"Western Region","Out of State","High Meadows","White",0
"Western Region","Out of State","Independent Living","Black",0
"Western Region","Out of State","Independent Living","Hispanic",0
"Western Region","Out of State","Independent Living","Other",0
"Western Region","Out of State","Independent Living","White",0
"Western Region","Out of State","Medical or Psychiatric Hospital Placement","Black",0
"Western Region","Out of State","Medical or Psychiatric Hospital Placement","Hispanic",0
"Western Region","Out of State","Medical or Psychiatric Hospital Placement","Other",0
"Western Region","Out of State","Medical or Psychiatric Hospital Placement","White",0
"Western Region","Out of State","PDC or Safe Home","Black",0
"Western Region","Out of State","PDC or Safe Home","Hispanic",0
"Western Region","Out of State","PDC or Safe Home","Other",0
"Western Region","Out of State","PDC or Safe Home","White",0
"Western Region","Out of State","Relative Foster Care","Black",3
"Western Region","Out of State","Relative Foster Care","Hispanic",2
"Western Region","Out of State","Relative Foster Care","Other",0
"Western Region","Out of State","Relative Foster Care","White",1
"Western Region","Out of State","Residential Treatment Center","Black",1
"Western Region","Out of State","Residential Treatment Center","Hispanic",2
"Western Region","Out of State","Residential Treatment Center","Other",0
"Western Region","Out of State","Residential Treatment Center","White",4
"Western Region","Out of State","Shelter","Black",0
"Western Region","Out of State","Shelter","Hispanic",0
"Western Region","Out of State","Shelter","Other",0
"Western Region","Out of State","Shelter","White",0
"Western Region","Out of State","Solnit Center","Black",0
"Western Region","Out of State","Solnit Center","Hispanic",0
"Western Region","Out of State","Solnit Center","Other",0
"Western Region","Out of State","Solnit Center","White",0
"Western Region","Out of State","Special Study","Black",0
"Western Region","Out of State","Special Study","Hispanic",0
"Western Region","Out of State","Special Study","Other",0
"Western Region","Out of State","Special Study","White",0
"Western Region","Out of State","Therapeutic Foster Care","Black",0
"Western Region","Out of State","Therapeutic Foster Care","Hispanic",0
"Western Region","Out of State","Therapeutic Foster Care","Other",0
"Western Region","Out of State","Therapeutic Foster Care","White",0
"Western Region","Out of State","Total","Black",4
"Western Region","Out of State","Total","Hispanic",5
"Western Region","Out of State","Total","Other",0
"Western Region","Out of State","Total","White",6
