"Town","Year","FIPS","Indicator","Measure Type","Variable","Value","Region","Total Births"
"Colebrook",2013,900516050,"Evaluated that are Eligible","Percent","Birth to Three Indicators",0,"Western Region",8
"Colebrook",2013,900516050,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",0,"Western Region",8
"Colebrook",2013,900516050,"Evaluations","Number","Birth to Three Indicators",0,"Western Region",8
"Colebrook",2013,900516050,"Referred that are Evaluated","Percent","Birth to Three Indicators",0,"Western Region",8
"Colebrook",2013,900516050,"Total Served","Percent","Birth to Three Indicators",0,"Western Region",8
"Colebrook",2013,900516050,"IFSP Receiving Services","Percent","Birth to Three Indicators",0,"Western Region",8
"Colebrook",2013,900516050,"Total Eligible","Number","Birth to Three Indicators",0,"Western Region",8
"Colebrook",2013,900516050,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",0,"Western Region",8
"Colebrook",2013,900516050,"Evaluations","Percent","Birth to Three Indicators",0,"Western Region",8
"Columbia",2013,901316400,"Evaluated that are Eligible","Percent","Birth to Three Indicators",40,"Eastern Region",32
"Columbia",2013,901316400,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",50,"Eastern Region",32
"Columbia",2013,901316400,"Total Served","Percent","Birth to Three Indicators",6.25,"Eastern Region",32
"Columbia",2013,901316400,"Referred that are Evaluated","Percent","Birth to Three Indicators",83.33,"Eastern Region",32
"Columbia",2013,901316400,"Evaluations","Number","Birth to Three Indicators",5,"Eastern Region",32
"Columbia",2013,901316400,"Referrals","Number","Birth to Three Indicators",6,"Eastern Region",32
"Columbia",2013,901316400,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",3.12,"Eastern Region",32
"Columbia",2013,901316400,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"Eastern Region",32
"Columbia",2013,901316400,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Eastern Region",32
"Columbia",2013,901316400,"Individual Family Service Plans","Number","Birth to Three Indicators",2,"Eastern Region",32
"Columbia",2013,901316400,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"Eastern Region",32
"Columbia",2013,901316400,"Total Served","Number","Birth to Three Indicators",2,"Eastern Region",32
"Columbia",2013,901316400,"Individual Family Service Plans","Percent","Birth to Three Indicators",6.25,"Eastern Region",32
"Columbia",2013,901316400,"Referrals","Percent","Birth to Three Indicators",18.75,"Eastern Region",32
"Columbia",2013,901316400,"Total Eligible","Number","Birth to Three Indicators",2,"Eastern Region",32
"Columbia",2013,901316400,"Evaluations","Percent","Birth to Three Indicators",15.62,"Eastern Region",32
"Columbia",2013,901316400,"Total Eligible","Percent","Birth to Three Indicators",6.25,"Eastern Region",32
"Connecticut",2013,9,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",47.11,"Statewide",36086
"Connecticut",2013,9,"Evaluations","Number","Birth to Three Indicators",7198,"Statewide",36086
"Connecticut",2013,9,"Total Eligible","Number","Birth to Three Indicators",4999,"Statewide",36086
"Connecticut",2013,9,"IFSP Receiving Services","Percent","Birth to Three Indicators",96.88,"Statewide",36086
"Connecticut",2013,9,"Referred that are Evaluated","Percent","Birth to Three Indicators",94.65,"Statewide",36086
"Connecticut",2013,9,"Total Served","Percent","Birth to Three Indicators",12.56,"Statewide",36086
"Connecticut",2013,9,"Individual Family Service Plans","Number","Birth to Three Indicators",4679,"Statewide",36086
"Connecticut",2013,9,"Evaluated that are Eligible","Percent","Birth to Three Indicators",69.45,"Statewide",36086
"Connecticut",2013,9,"Referrals","Percent","Birth to Three Indicators",21.07,"Statewide",36086
"Connecticut",2013,9,"Evaluations","Percent","Birth to Three Indicators",19.95,"Statewide",36086
"Connecticut",2013,9,"Individual Family Service Plans","Percent","Birth to Three Indicators",12.97,"Statewide",36086
"Connecticut",2013,9,"Total Eligible","Percent","Birth to Three Indicators",13.85,"Statewide",36086
"Connecticut",2013,9,"Referrals","Number","Birth to Three Indicators",7605,"Statewide",36086
"Connecticut",2013,9,"Total Served","Number","Birth to Three Indicators",4533,"Statewide",36086
"Connecticut",2013,9,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",2355,"Statewide",36086
"Connecticut",2013,9,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",93.6,"Statewide",36086
"Connecticut",2013,9,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",6.53,"Statewide",36086
"Cornwall",2013,900517240,"Total Eligible","Percent","Birth to Three Indicators",25,"Western Region",4
"Cornwall",2013,900517240,"Individual Family Service Plans","Percent","Birth to Three Indicators",25,"Western Region",4
"Cornwall",2013,900517240,"Referrals","Number","Birth to Three Indicators",1,"Western Region",4
"Cornwall",2013,900517240,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"Western Region",4
"Cornwall",2013,900517240,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",0,"Western Region",4
"Cornwall",2013,900517240,"Total Served","Number","Birth to Three Indicators",1,"Western Region",4
"Cornwall",2013,900517240,"Evaluations","Number","Birth to Three Indicators",1,"Western Region",4
"Cornwall",2013,900517240,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Western Region",4
"Cornwall",2013,900517240,"Evaluated that are Eligible","Percent","Birth to Three Indicators",100,"Western Region",4
"Cornwall",2013,900517240,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Western Region",4
"Cornwall",2013,900517240,"Evaluations","Percent","Birth to Three Indicators",25,"Western Region",4
"Cornwall",2013,900517240,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",0,"Western Region",4
"Cornwall",2013,900517240,"Total Served","Percent","Birth to Three Indicators",25,"Western Region",4
"Cornwall",2013,900517240,"Individual Family Service Plans","Number","Birth to Three Indicators",1,"Western Region",4
"Cornwall",2013,900517240,"Referrals","Percent","Birth to Three Indicators",25,"Western Region",4
"Cornwall",2013,900517240,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",0,"Western Region",4
"Cornwall",2013,900517240,"Total Eligible","Number","Birth to Three Indicators",1,"Western Region",4
"Coventry",2013,901317800,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",13.68,"Eastern Region",95
"Coventry",2013,901317800,"Individual Family Service Plans","Percent","Birth to Three Indicators",23.16,"Eastern Region",95
"Coventry",2013,901317800,"Referrals","Number","Birth to Three Indicators",25,"Eastern Region",95
"Coventry",2013,901317800,"Evaluated that are Eligible","Percent","Birth to Three Indicators",88,"Eastern Region",95
"Coventry",2013,901317800,"Total Served","Number","Birth to Three Indicators",22,"Eastern Region",95
"Coventry",2013,901317800,"Referrals","Percent","Birth to Three Indicators",26.32,"Eastern Region",95
"Coventry",2013,901317800,"Total Served","Percent","Birth to Three Indicators",23.16,"Eastern Region",95
"Coventry",2013,901317800,"Evaluations","Number","Birth to Three Indicators",25,"Eastern Region",95
"Coventry",2013,901317800,"Total Eligible","Percent","Birth to Three Indicators",23.16,"Eastern Region",95
"Coventry",2013,901317800,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",13,"Eastern Region",95
"Coventry",2013,901317800,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"Eastern Region",95
"Coventry",2013,901317800,"Total Eligible","Number","Birth to Three Indicators",22,"Eastern Region",95
"Coventry",2013,901317800,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Eastern Region",95
"Coventry",2013,901317800,"Individual Family Service Plans","Number","Birth to Three Indicators",22,"Eastern Region",95
"Coventry",2013,901317800,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Eastern Region",95
"Coventry",2013,901317800,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",59.09,"Eastern Region",95
"Coventry",2013,901317800,"Evaluations","Percent","Birth to Three Indicators",26.32,"Eastern Region",95
"Cromwell",2013,900718080,"Total Eligible","Percent","Birth to Three Indicators",12.86,"Eastern Region",140
"Cromwell",2013,900718080,"Individual Family Service Plans","Percent","Birth to Three Indicators",12.14,"Eastern Region",140
"Cromwell",2013,900718080,"Referrals","Percent","Birth to Three Indicators",18.57,"Eastern Region",140
"Cromwell",2013,900718080,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",66.67,"Eastern Region",140
"Cromwell",2013,900718080,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Eastern Region",140
"Cromwell",2013,900718080,"Total Eligible","Number","Birth to Three Indicators",18,"Eastern Region",140
"Cromwell",2013,900718080,"Evaluations","Percent","Birth to Three Indicators",18.57,"Eastern Region",140
"Cromwell",2013,900718080,"Total Served","Percent","Birth to Three Indicators",11.43,"Eastern Region",140
"Cromwell",2013,900718080,"Evaluated that are Eligible","Percent","Birth to Three Indicators",69.23,"Eastern Region",140
"Cromwell",2013,900718080,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",94.44,"Eastern Region",140
"Cromwell",2013,900718080,"Individual Family Service Plans","Number","Birth to Three Indicators",17,"Eastern Region",140
"Cromwell",2013,900718080,"Evaluations","Number","Birth to Three Indicators",26,"Eastern Region",140
"Cromwell",2013,900718080,"Referrals","Number","Birth to Three Indicators",26,"Eastern Region",140
"Cromwell",2013,900718080,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",12,"Eastern Region",140
"Cromwell",2013,900718080,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",8.57,"Eastern Region",140
"Cromwell",2013,900718080,"IFSP Receiving Services","Percent","Birth to Three Indicators",94.12,"Eastern Region",140
"Cromwell",2013,900718080,"Total Served","Number","Birth to Three Indicators",16,"Eastern Region",140
"Danbury",2013,900118500,"Total Eligible","Percent","Birth to Three Indicators",16.47,"Western Region",1099
"Danbury",2013,900118500,"Referred that are Evaluated","Percent","Birth to Three Indicators",95.08,"Western Region",1099
"Danbury",2013,900118500,"Evaluations","Percent","Birth to Three Indicators",21.11,"Western Region",1099
"Danbury",2013,900118500,"Evaluations","Number","Birth to Three Indicators",232,"Western Region",1099
"Danbury",2013,900118500,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",93.92,"Western Region",1099
"Danbury",2013,900118500,"Total Eligible","Number","Birth to Three Indicators",181,"Western Region",1099
"Danbury",2013,900118500,"Individual Family Service Plans","Percent","Birth to Three Indicators",15.47,"Western Region",1099
"Danbury",2013,900118500,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",72,"Western Region",1099
"Danbury",2013,900118500,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",6.55,"Western Region",1099
"Danbury",2013,900118500,"Evaluated that are Eligible","Percent","Birth to Three Indicators",78.02,"Western Region",1099
"Danbury",2013,900118500,"Total Served","Percent","Birth to Three Indicators",15.2,"Western Region",1099
"Danbury",2013,900118500,"Individual Family Service Plans","Number","Birth to Three Indicators",170,"Western Region",1099
"Danbury",2013,900118500,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",39.78,"Western Region",1099
"Danbury",2013,900118500,"IFSP Receiving Services","Percent","Birth to Three Indicators",98.24,"Western Region",1099
"Danbury",2013,900118500,"Referrals","Percent","Birth to Three Indicators",22.2,"Western Region",1099
"Danbury",2013,900118500,"Total Served","Number","Birth to Three Indicators",167,"Western Region",1099
"Danbury",2013,900118500,"Referrals","Number","Birth to Three Indicators",244,"Western Region",1099
"Darien",2013,900118850,"Total Served","Number","Birth to Three Indicators",14,"Southwest Region",193
"Darien",2013,900118850,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",9,"Southwest Region",193
"Darien",2013,900118850,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",4.66,"Southwest Region",193
"Darien",2013,900118850,"Individual Family Service Plans","Percent","Birth to Three Indicators",7.77,"Southwest Region",193
"Darien",2013,900118850,"Individual Family Service Plans","Number","Birth to Three Indicators",15,"Southwest Region",193
"Darien",2013,900118850,"Evaluations","Percent","Birth to Three Indicators",16.58,"Southwest Region",193
"Darien",2013,900118850,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",88.24,"Southwest Region",193
"Darien",2013,900118850,"Total Eligible","Number","Birth to Three Indicators",17,"Southwest Region",193
"Darien",2013,900118850,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",52.94,"Southwest Region",193
"Darien",2013,900118850,"Evaluated that are Eligible","Percent","Birth to Three Indicators",53.12,"Southwest Region",193
"Darien",2013,900118850,"Total Eligible","Percent","Birth to Three Indicators",8.81,"Southwest Region",193
"Darien",2013,900118850,"Referred that are Evaluated","Percent","Birth to Three Indicators",94.12,"Southwest Region",193
"Darien",2013,900118850,"IFSP Receiving Services","Percent","Birth to Three Indicators",93.33,"Southwest Region",193
"Darien",2013,900118850,"Referrals","Percent","Birth to Three Indicators",17.62,"Southwest Region",193
"Darien",2013,900118850,"Total Served","Percent","Birth to Three Indicators",7.25,"Southwest Region",193
"Darien",2013,900118850,"Referrals","Number","Birth to Three Indicators",34,"Southwest Region",193
"Darien",2013,900118850,"Evaluations","Number","Birth to Three Indicators",32,"Southwest Region",193
"Deep River",2013,900719130,"Individual Family Service Plans","Number","Birth to Three Indicators",4,"Eastern Region",27
"Deep River",2013,900719130,"Total Served","Percent","Birth to Three Indicators",14.81,"Eastern Region",27
"Deep River",2013,900719130,"Total Eligible","Number","Birth to Three Indicators",4,"Eastern Region",27
"Deep River",2013,900719130,"Referrals","Percent","Birth to Three Indicators",18.52,"Eastern Region",27
"Deep River",2013,900719130,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",11.11,"Eastern Region",27
"Deep River",2013,900719130,"Individual Family Service Plans","Percent","Birth to Three Indicators",14.81,"Eastern Region",27
"Deep River",2013,900719130,"Referrals","Number","Birth to Three Indicators",5,"Eastern Region",27
"Deep River",2013,900719130,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Eastern Region",27
"Deep River",2013,900719130,"Total Eligible","Percent","Birth to Three Indicators",14.81,"Eastern Region",27
"Deep River",2013,900719130,"Evaluated that are Eligible","Percent","Birth to Three Indicators",80,"Eastern Region",27
"Deep River",2013,900719130,"Evaluations","Number","Birth to Three Indicators",5,"Eastern Region",27
"Deep River",2013,900719130,"Total Served","Number","Birth to Three Indicators",4,"Eastern Region",27
"Deep River",2013,900719130,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"Eastern Region",27
"Deep River",2013,900719130,"Evaluations","Percent","Birth to Three Indicators",18.52,"Eastern Region",27
"Deep River",2013,900719130,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",75,"Eastern Region",27
"Deep River",2013,900719130,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"Eastern Region",27
"Deep River",2013,900719130,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Eastern Region",27
"Derby",2013,900919550,"Referrals","Percent","Birth to Three Indicators",13.73,"South Central Region",153
"Derby",2013,900919550,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",35.71,"South Central Region",153
"Derby",2013,900919550,"Individual Family Service Plans","Percent","Birth to Three Indicators",8.5,"South Central Region",153
"Derby",2013,900919550,"Total Eligible","Percent","Birth to Three Indicators",9.15,"South Central Region",153
"Derby",2013,900919550,"Evaluations","Number","Birth to Three Indicators",18,"South Central Region",153
"Derby",2013,900919550,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",92.86,"South Central Region",153
"Derby",2013,900919550,"Evaluated that are Eligible","Percent","Birth to Three Indicators",77.78,"South Central Region",153
"Derby",2013,900919550,"Evaluations","Percent","Birth to Three Indicators",11.76,"South Central Region",153
"Derby",2013,900919550,"Total Served","Percent","Birth to Three Indicators",7.84,"South Central Region",153
"Derby",2013,900919550,"Referred that are Evaluated","Percent","Birth to Three Indicators",85.71,"South Central Region",153
"Derby",2013,900919550,"Referrals","Number","Birth to Three Indicators",21,"South Central Region",153
"Derby",2013,900919550,"Individual Family Service Plans","Number","Birth to Three Indicators",13,"South Central Region",153
"Derby",2013,900919550,"Total Served","Number","Birth to Three Indicators",12,"South Central Region",153
"Derby",2013,900919550,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",3.27,"South Central Region",153
"Derby",2013,900919550,"Total Eligible","Number","Birth to Three Indicators",14,"South Central Region",153
"Derby",2013,900919550,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",5,"South Central Region",153
"Derby",2013,900919550,"IFSP Receiving Services","Percent","Birth to Three Indicators",92.31,"South Central Region",153
"Durham",2013,900720810,"Evaluated that are Eligible","Percent","Birth to Three Indicators",77.78,"Eastern Region",59
"Durham",2013,900720810,"Evaluations","Number","Birth to Three Indicators",9,"Eastern Region",59
"Durham",2013,900720810,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",8.47,"Eastern Region",59
"Durham",2013,900720810,"Total Eligible","Percent","Birth to Three Indicators",11.86,"Eastern Region",59
"Durham",2013,900720810,"Total Eligible","Number","Birth to Three Indicators",7,"Eastern Region",59
"Durham",2013,900720810,"Referrals","Percent","Birth to Three Indicators",16.95,"Eastern Region",59
"Durham",2013,900720810,"Individual Family Service Plans","Percent","Birth to Three Indicators",11.86,"Eastern Region",59
"Durham",2013,900720810,"Referred that are Evaluated","Percent","Birth to Three Indicators",90,"Eastern Region",59
"Durham",2013,900720810,"Referrals","Number","Birth to Three Indicators",10,"Eastern Region",59
"Durham",2013,900720810,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",71.43,"Eastern Region",59
"Durham",2013,900720810,"Total Served","Percent","Birth to Three Indicators",11.86,"Eastern Region",59
"Durham",2013,900720810,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",5,"Eastern Region",59
"Durham",2013,900720810,"Total Served","Number","Birth to Three Indicators",7,"Eastern Region",59
"Durham",2013,900720810,"Evaluations","Percent","Birth to Three Indicators",15.25,"Eastern Region",59
"Durham",2013,900720810,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Eastern Region",59
"Durham",2013,900720810,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"Eastern Region",59
"Durham",2013,900720810,"Individual Family Service Plans","Number","Birth to Three Indicators",7,"Eastern Region",59
"Eastford",2013,901521860,"Individual Family Service Plans","Percent","Birth to Three Indicators",20.83,"Eastern Region",24
"Eastford",2013,901521860,"Individual Family Service Plans","Number","Birth to Three Indicators",5,"Eastern Region",24
"Eastford",2013,901521860,"Total Eligible","Percent","Birth to Three Indicators",20.83,"Eastern Region",24
"Eastford",2013,901521860,"Total Served","Percent","Birth to Three Indicators",20.83,"Eastern Region",24
"Eastford",2013,901521860,"Total Served","Number","Birth to Three Indicators",5,"Eastern Region",24
"Eastford",2013,901521860,"Total Eligible","Number","Birth to Three Indicators",5,"Eastern Region",24
"Eastford",2013,901521860,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",20.83,"Eastern Region",24
"Eastford",2013,901521860,"Evaluations","Percent","Birth to Three Indicators",20.83,"Eastern Region",24
"Eastford",2013,901521860,"Referrals","Number","Birth to Three Indicators",5,"Eastern Region",24
"Eastford",2013,901521860,"Evaluations","Number","Birth to Three Indicators",5,"Eastern Region",24
"Eastford",2013,901521860,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Eastern Region",24
"Eastford",2013,901521860,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"Eastern Region",24
"Eastford",2013,901521860,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",100,"Eastern Region",24
"Eastford",2013,901521860,"Evaluated that are Eligible","Percent","Birth to Three Indicators",100,"Eastern Region",24
"Eastford",2013,901521860,"Referrals","Percent","Birth to Three Indicators",20.83,"Eastern Region",24
"Eastford",2013,901521860,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",5,"Eastern Region",24
"Eastford",2013,901521860,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Eastern Region",24
"East Granby",2013,900322070,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"North Central Region",54
"East Granby",2013,900322070,"Total Served","Number","Birth to Three Indicators",5,"North Central Region",54
"East Granby",2013,900322070,"Referrals","Number","Birth to Three Indicators",8,"North Central Region",54
"East Granby",2013,900322070,"Total Eligible","Percent","Birth to Three Indicators",9.26,"North Central Region",54
"East Granby",2013,900322070,"Evaluated that are Eligible","Percent","Birth to Three Indicators",83.33,"North Central Region",54
"East Granby",2013,900322070,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"North Central Region",54
"East Granby",2013,900322070,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",5.56,"North Central Region",54
"East Granby",2013,900322070,"Total Eligible","Number","Birth to Three Indicators",5,"North Central Region",54
"East Granby",2013,900322070,"Evaluations","Percent","Birth to Three Indicators",11.11,"North Central Region",54
"East Granby",2013,900322070,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",60,"North Central Region",54
"East Granby",2013,900322070,"Individual Family Service Plans","Percent","Birth to Three Indicators",9.26,"North Central Region",54
"East Granby",2013,900322070,"Referrals","Percent","Birth to Three Indicators",14.81,"North Central Region",54
"East Granby",2013,900322070,"Referred that are Evaluated","Percent","Birth to Three Indicators",75,"North Central Region",54
"East Granby",2013,900322070,"Individual Family Service Plans","Number","Birth to Three Indicators",5,"North Central Region",54
"East Granby",2013,900322070,"Total Served","Percent","Birth to Three Indicators",9.26,"North Central Region",54
"East Granby",2013,900322070,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"North Central Region",54
"East Granby",2013,900322070,"Evaluations","Number","Birth to Three Indicators",6,"North Central Region",54
"East Haddam",2013,900722280,"Total Eligible","Number","Birth to Three Indicators",5,"Eastern Region",72
"East Haddam",2013,900722280,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"Eastern Region",72
"East Haddam",2013,900722280,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",2,"Eastern Region",72
"East Haddam",2013,900722280,"Individual Family Service Plans","Number","Birth to Three Indicators",5,"Eastern Region",72
"East Haddam",2013,900722280,"Total Served","Number","Birth to Three Indicators",4,"Eastern Region",72
"East Haddam",2013,900722280,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",40,"Eastern Region",72
"East Haddam",2013,900722280,"Evaluations","Number","Birth to Three Indicators",8,"Eastern Region",72
"East Haddam",2013,900722280,"Individual Family Service Plans","Percent","Birth to Three Indicators",6.94,"Eastern Region",72
"East Haddam",2013,900722280,"Evaluations","Percent","Birth to Three Indicators",11.11,"Eastern Region",72
"East Haddam",2013,900722280,"Evaluated that are Eligible","Percent","Birth to Three Indicators",62.5,"Eastern Region",72
"East Haddam",2013,900722280,"Total Served","Percent","Birth to Three Indicators",5.56,"Eastern Region",72
"East Haddam",2013,900722280,"Referrals","Percent","Birth to Three Indicators",11.11,"Eastern Region",72
"East Haddam",2013,900722280,"IFSP Receiving Services","Percent","Birth to Three Indicators",80,"Eastern Region",72
"East Haddam",2013,900722280,"Referrals","Number","Birth to Three Indicators",8,"Eastern Region",72
"East Haddam",2013,900722280,"Total Eligible","Percent","Birth to Three Indicators",6.94,"Eastern Region",72
"East Haddam",2013,900722280,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",2.78,"Eastern Region",72
"East Haddam",2013,900722280,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Eastern Region",72
"East Hampton",2013,900722490,"Total Served","Number","Birth to Three Indicators",12,"Eastern Region",118
"East Hampton",2013,900722490,"Individual Family Service Plans","Percent","Birth to Three Indicators",10.17,"Eastern Region",118
"East Hampton",2013,900722490,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",28.57,"Eastern Region",118
"East Hampton",2013,900722490,"Individual Family Service Plans","Number","Birth to Three Indicators",12,"Eastern Region",118
"East Hampton",2013,900722490,"Evaluations","Number","Birth to Three Indicators",25,"Eastern Region",118
"East Hampton",2013,900722490,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Eastern Region",118
"East Hampton",2013,900722490,"Evaluated that are Eligible","Percent","Birth to Three Indicators",56,"Eastern Region",118
"East Hampton",2013,900722490,"Evaluations","Percent","Birth to Three Indicators",21.19,"Eastern Region",118
"East Hampton",2013,900722490,"Total Eligible","Number","Birth to Three Indicators",14,"Eastern Region",118
"East Hampton",2013,900722490,"Total Served","Percent","Birth to Three Indicators",10.17,"Eastern Region",118
"East Hampton",2013,900722490,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",4,"Eastern Region",118
"East Hampton",2013,900722490,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Eastern Region",118
"East Hampton",2013,900722490,"Referrals","Number","Birth to Three Indicators",25,"Eastern Region",118
"East Hampton",2013,900722490,"Referrals","Percent","Birth to Three Indicators",21.19,"Eastern Region",118
"East Hampton",2013,900722490,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",85.71,"Eastern Region",118
"East Hampton",2013,900722490,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",3.39,"Eastern Region",118
"East Hampton",2013,900722490,"Total Eligible","Percent","Birth to Three Indicators",11.86,"Eastern Region",118
"East Hartford",2013,900322630,"Referrals","Percent","Birth to Three Indicators",22.47,"North Central Region",663
"East Hartford",2013,900322630,"Total Eligible","Number","Birth to Three Indicators",112,"North Central Region",663
"East Hartford",2013,900322630,"Individual Family Service Plans","Percent","Birth to Three Indicators",16.59,"North Central Region",663
"East Hartford",2013,900322630,"Total Eligible","Percent","Birth to Three Indicators",16.89,"North Central Region",663
"East Hartford",2013,900322630,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",59,"North Central Region",663
"East Hartford",2013,900322630,"Individual Family Service Plans","Number","Birth to Three Indicators",110,"North Central Region",663
"East Hartford",2013,900322630,"IFSP Receiving Services","Percent","Birth to Three Indicators",99.09,"North Central Region",663
"East Hartford",2013,900322630,"Referred that are Evaluated","Percent","Birth to Three Indicators",93.96,"North Central Region",663
"East Hartford",2013,900322630,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",8.9,"North Central Region",663
"East Hartford",2013,900322630,"Evaluations","Percent","Birth to Three Indicators",21.12,"North Central Region",663
"East Hartford",2013,900322630,"Total Served","Number","Birth to Three Indicators",109,"North Central Region",663
"East Hartford",2013,900322630,"Evaluations","Number","Birth to Three Indicators",140,"North Central Region",663
"East Hartford",2013,900322630,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",98.21,"North Central Region",663
"East Hartford",2013,900322630,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",52.68,"North Central Region",663
"East Hartford",2013,900322630,"Total Served","Percent","Birth to Three Indicators",16.44,"North Central Region",663
"East Hartford",2013,900322630,"Evaluated that are Eligible","Percent","Birth to Three Indicators",80,"North Central Region",663
"East Hartford",2013,900322630,"Referrals","Number","Birth to Three Indicators",149,"North Central Region",663
"East Haven",2013,900922910,"Total Eligible","Number","Birth to Three Indicators",40,"South Central Region",262
"East Haven",2013,900922910,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",7.25,"South Central Region",262
"East Haven",2013,900922910,"Total Served","Percent","Birth to Three Indicators",14.12,"South Central Region",262
"East Haven",2013,900922910,"Individual Family Service Plans","Number","Birth to Three Indicators",37,"South Central Region",262
"East Haven",2013,900922910,"Referrals","Percent","Birth to Three Indicators",22.9,"South Central Region",262
"East Haven",2013,900922910,"Referred that are Evaluated","Percent","Birth to Three Indicators",93.33,"South Central Region",262
"East Haven",2013,900922910,"Referrals","Number","Birth to Three Indicators",60,"South Central Region",262
"East Haven",2013,900922910,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",19,"South Central Region",262
"East Haven",2013,900922910,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",92.5,"South Central Region",262
"East Haven",2013,900922910,"Total Served","Number","Birth to Three Indicators",37,"South Central Region",262
"East Haven",2013,900922910,"Evaluated that are Eligible","Percent","Birth to Three Indicators",71.43,"South Central Region",262
"East Haven",2013,900922910,"Total Eligible","Percent","Birth to Three Indicators",15.27,"South Central Region",262
